lead_id,created_date,company_name,lead_source,industry,company_size,region,lead_status
77,2025-02-12,Company_00077,Paid Ads,Technology,Enterprise,Singapore,New
78,2024-12-25,Company_00078,Referral,Healthcare,Mid-Market,Singapore,New
79,2024-01-29,Company_00079,Website,Manufacturing,SMB,Singapore,New
80,2024-02-09,Company_00080,Website,Healthcare,SMB,Singapore,New
81,2025-03-22,Company_00081,Referral,Financial Services,SMB,Japan,New
82,2024-09-17,Company_00082,Website,Healthcare,SMB,Japan,New
83,2025-01-07,Company_00083,Paid Ads,Professional Services,Enterprise,Singapore,New
84,2025-11-10,Company_00084,Outbound,Professional Services,Enterprise,Singapore,New
85,2025-11-13,Company_00085,Paid Ads,Healthcare,Mid-Market,Japan,New
86,2024-07-15,Company_00086,Paid Ads,Healthcare,Mid-Market,Japan,New
87,2025-09-22,Company_00087,Referral,Healthcare,SMB,Taiwan,New
88,2024-11-07,Company_00088,Website,Healthcare,Mid-Market,Singapore,New
89,2025-04-21,Company_00089,Paid Ads,Professional Services,SMB,Hong Kong,New
90,2024-06-22,Company_00090,Outbound,Manufacturing,SMB,Singapore,New
91,2024-04-05,Company_00091,Outbound,Retail,Mid-Market,Japan,New
92,2024-07-22,Company_00092,Website,Technology,SMB,Hong Kong,New
93,2025-09-17,Company_00093,Outbound,Technology,SMB,Japan,New
94,2025-12-14,Company_00094,Paid Ads,Healthcare,SMB,Taiwan,New
95,2024-04-19,Company_00095,Outbound,Retail,SMB,Hong Kong,New
96,2024-02-21,Company_00096,Referral,Technology,SMB,Hong Kong,New
97,2025-11-14,Company_00097,Referral,Financial Services,Mid-Market,Hong Kong,New
98,2025-09-19,Company_00098,Outbound,Financial Services,SMB,Hong Kong,New
99,2024-06-11,Company_00099,Outbound,Healthcare,SMB,Japan,New
100,2025-10-14,Company_00100,Website,Financial Services,SMB,Japan,New
101,2024-10-08,Company_00101,Paid Ads,Professional Services,SMB,Singapore,New
102,2024-12-09,Company_00102,Paid Ads,Financial Services,SMB,Japan,New
103,2024-08-24,Company_00103,Paid Ads,Retail,Mid-Market,Taiwan,New
104,2025-02-28,Company_00104,Paid Ads,Financial Services,SMB,Taiwan,New
105,2024-07-30,Company_00105,Outbound,Healthcare,Enterprise,Taiwan,New
106,2025-08-12,Company_00106,Paid Ads,Technology,Enterprise,Singapore,New
107,2025-02-03,Company_00107,Partner,Healthcare,SMB,Japan,New
108,2025-05-14,Company_00108,Website,Healthcare,SMB,Hong Kong,New
109,2024-12-10,Company_00109,Outbound,Healthcare,Mid-Market,Hong Kong,New
110,2024-05-10,Company_00110,Event,Financial Services,SMB,Hong Kong,New
111,2025-08-29,Company_00111,Referral,Technology,SMB,Hong Kong,New
112,2024-05-18,Company_00112,Partner,Retail,SMB,Hong Kong,New
113,2024-12-01,Company_00113,Website,Manufacturing,SMB,Hong Kong,New
114,2024-10-11,Company_00114,Outbound,Healthcare,SMB,Taiwan,New
115,2025-04-26,Company_00115,Website,Financial Services,SMB,Singapore,New
116,2024-08-17,Company_00116,Outbound,Professional Services,SMB,Taiwan,New
117,2024-09-10,Company_00117,Website,Technology,Mid-Market,Japan,New
118,2024-05-09,Company_00118,Paid Ads,Technology,Mid-Market,Japan,New
119,2025-04-21,Company_00119,Outbound,Manufacturing,SMB,Taiwan,New
120,2024-06-16,Company_00120,Event,Technology,Mid-Market,Singapore,New
121,2025-08-12,Company_00121,Outbound,Healthcare,SMB,Japan,New
122,2024-03-18,Company_00122,Referral,Professional Services,SMB,Singapore,New
123,2025-12-01,Company_00123,Referral,Technology,Mid-Market,Taiwan,New
124,2024-12-21,Company_00124,Referral,Professional Services,SMB,Singapore,New
125,2024-01-13,Company_00125,Outbound,Healthcare,SMB,Singapore,New
126,2025-10-12,Company_00126,Partner,Healthcare,Mid-Market,Hong Kong,New
127,2024-06-29,Company_00127,Outbound,Professional Services,SMB,Hong Kong,New
128,2025-04-21,Company_00128,Paid Ads,Professional Services,Mid-Market,Singapore,New
129,2024-09-08,Company_00129,Outbound,Technology,SMB,Hong Kong,New
130,2024-09-06,Company_00130,Outbound,Financial Services,Mid-Market,Hong Kong,New
131,2024-12-10,Company_00131,Website,Manufacturing,SMB,Japan,New
132,2024-12-29,Company_00132,Outbound,Manufacturing,SMB,Singapore,New
133,2025-07-23,Company_00133,Website,Retail,SMB,Hong Kong,New
134,2025-05-15,Company_00134,Referral,Retail,Mid-Market,Hong Kong,New
135,2025-04-03,Company_00135,Outbound,Technology,SMB,Hong Kong,New
136,2025-12-09,Company_00136,Website,Professional Services,Mid-Market,Hong Kong,New
137,2025-07-20,Company_00137,Referral,Healthcare,Enterprise,Singapore,New
138,2024-12-26,Company_00138,Outbound,Manufacturing,SMB,Japan,New
139,2024-05-03,Company_00139,Outbound,Manufacturing,SMB,Japan,New
140,2024-07-15,Company_00140,Website,Healthcare,SMB,Singapore,New
141,2024-04-12,Company_00141,Outbound,Manufacturing,SMB,Japan,New
142,2024-11-05,Company_00142,Website,Financial Services,SMB,Taiwan,New
143,2024-02-25,Company_00143,Referral,Professional Services,Enterprise,Hong Kong,New
144,2024-04-15,Company_00144,Partner,Financial Services,SMB,Hong Kong,New
145,2025-03-27,Company_00145,Paid Ads,Technology,SMB,Hong Kong,New
146,2024-04-26,Company_00146,Outbound,Healthcare,SMB,Taiwan,New
147,2024-06-04,Company_00147,Website,Financial Services,Enterprise,Taiwan,New
148,2024-09-11,Company_00148,Website,Healthcare,Mid-Market,Japan,New
149,2025-06-19,Company_00149,Paid Ads,Healthcare,SMB,Hong Kong,New
150,2024-11-08,Company_00150,Referral,Technology,Mid-Market,Taiwan,New
151,2024-07-31,Company_00151,Referral,Manufacturing,Mid-Market,Japan,New
152,2024-09-02,Company_00152,Website,Technology,SMB,Hong Kong,New
153,2025-04-06,Company_00153,Outbound,Healthcare,SMB,Japan,New
154,2024-10-22,Company_00154,Outbound,Professional Services,Enterprise,Taiwan,New
155,2025-12-04,Company_00155,Website,Manufacturing,Mid-Market,Japan,New
156,2025-03-11,Company_00156,Website,Retail,Mid-Market,Singapore,New
157,2024-05-25,Company_00157,Website,Retail,Mid-Market,Singapore,New
158,2025-03-25,Company_00158,Website,Professional Services,SMB,Hong Kong,New
159,2024-10-05,Company_00159,Referral,Healthcare,SMB,Taiwan,New
160,2025-03-18,Company_00160,Outbound,Financial Services,SMB,Taiwan,New
161,2024-08-22,Company_00161,Event,Financial Services,Mid-Market,Taiwan,New
162,2025-11-19,Company_00162,Outbound,Financial Services,SMB,Japan,New
163,2025-04-26,Company_00163,Referral,Healthcare,Enterprise,Japan,New
164,2025-08-22,Company_00164,Paid Ads,Healthcare,Enterprise,Hong Kong,New
165,2024-12-22,Company_00165,Paid Ads,Manufacturing,Mid-Market,Japan,New
166,2024-12-03,Company_00166,Paid Ads,Healthcare,SMB,Hong Kong,New
167,2025-07-17,Company_00167,Website,Technology,SMB,Singapore,New
168,2024-04-28,Company_00168,Event,Healthcare,Enterprise,Taiwan,New
169,2025-11-04,Company_00169,Partner,Healthcare,SMB,Japan,New
170,2025-06-14,Company_00170,Paid Ads,Healthcare,Mid-Market,Taiwan,New
171,2024-07-27,Company_00171,Website,Retail,Enterprise,Hong Kong,New
172,2025-12-16,Company_00172,Paid Ads,Technology,Enterprise,Japan,New
173,2025-12-27,Company_00173,Website,Financial Services,SMB,Hong Kong,New
174,2024-04-05,Company_00174,Website,Technology,SMB,Taiwan,New
175,2025-10-25,Company_00175,Outbound,Healthcare,Enterprise,Singapore,New
176,2025-06-05,Company_00176,Outbound,Healthcare,Mid-Market,Hong Kong,New
177,2024-09-06,Company_00177,Paid Ads,Retail,SMB,Japan,New
178,2024-03-12,Company_00178,Website,Healthcare,SMB,Singapore,New
179,2024-01-03,Company_00179,Website,Manufacturing,Mid-Market,Hong Kong,New
180,2024-06-01,Company_00180,Paid Ads,Healthcare,SMB,Hong Kong,New
181,2025-04-11,Company_00181,Partner,Retail,Enterprise,Japan,New
182,2025-08-08,Company_00182,Paid Ads,Healthcare,SMB,Hong Kong,New
183,2025-12-23,Company_00183,Partner,Healthcare,SMB,Japan,New
184,2025-05-22,Company_00184,Event,Retail,SMB,Singapore,New
185,2024-04-12,Company_00185,Partner,Healthcare,SMB,Hong Kong,New
186,2024-01-16,Company_00186,Outbound,Healthcare,Enterprise,Japan,New
187,2024-03-17,Company_00187,Paid Ads,Manufacturing,SMB,Hong Kong,New
188,2025-10-27,Company_00188,Website,Manufacturing,Enterprise,Hong Kong,New
189,2024-11-20,Company_00189,Referral,Healthcare,Enterprise,Taiwan,New
190,2025-09-24,Company_00190,Website,Professional Services,Mid-Market,Singapore,New
191,2024-08-20,Company_00191,Outbound,Healthcare,Enterprise,Taiwan,New
192,2025-03-30,Company_00192,Website,Manufacturing,Enterprise,Taiwan,New
193,2024-11-28,Company_00193,Outbound,Manufacturing,SMB,Hong Kong,New
194,2024-05-29,Company_00194,Website,Healthcare,Mid-Market,Japan,New
195,2024-06-23,Company_00195,Website,Financial Services,Enterprise,Japan,New
196,2025-05-24,Company_00196,Partner,Retail,SMB,Singapore,New
197,2025-04-15,Company_00197,Website,Technology,Enterprise,Hong Kong,New
198,2024-10-21,Company_00198,Outbound,Retail,SMB,Singapore,New
199,2025-08-24,Company_00199,Website,Healthcare,Mid-Market,Hong Kong,New
200,2024-11-05,Company_00200,Website,Healthcare,Enterprise,Taiwan,New
201,2024-08-30,Company_00201,Paid Ads,Manufacturing,Mid-Market,Singapore,New
202,2024-01-23,Company_00202,Event,Professional Services,SMB,Taiwan,New
203,2025-08-02,Company_00203,Partner,Professional Services,Enterprise,Hong Kong,New
204,2024-10-20,Company_00204,Outbound,Retail,Mid-Market,Singapore,New
205,2024-08-12,Company_00205,Referral,Financial Services,SMB,Japan,New
206,2025-10-05,Company_00206,Website,Professional Services,Mid-Market,Singapore,New
207,2025-03-27,Company_00207,Website,Manufacturing,Mid-Market,Taiwan,New
208,2024-10-29,Company_00208,Paid Ads,Healthcare,SMB,Japan,New
209,2025-07-06,Company_00209,Partner,Manufacturing,SMB,Singapore,New
210,2024-06-17,Company_00210,Website,Healthcare,Enterprise,Singapore,New
211,2024-12-12,Company_00211,Outbound,Healthcare,Enterprise,Japan,New
212,2024-08-19,Company_00212,Partner,Professional Services,Mid-Market,Hong Kong,New
213,2025-07-24,Company_00213,Paid Ads,Healthcare,SMB,Taiwan,New
214,2025-04-10,Company_00214,Paid Ads,Professional Services,Mid-Market,Hong Kong,New
215,2025-10-15,Company_00215,Partner,Technology,Mid-Market,Hong Kong,New
216,2024-01-26,Company_00216,Referral,Financial Services,SMB,Japan,New
217,2025-10-25,Company_00217,Website,Healthcare,Enterprise,Singapore,New
218,2025-10-26,Company_00218,Paid Ads,Retail,SMB,Taiwan,New
219,2024-11-07,Company_00219,Event,Technology,SMB,Japan,New
220,2025-02-01,Company_00220,Paid Ads,Professional Services,Enterprise,Hong Kong,New
221,2025-08-24,Company_00221,Outbound,Retail,Enterprise,Taiwan,New
222,2025-05-16,Company_00222,Referral,Manufacturing,SMB,Singapore,New
223,2024-08-10,Company_00223,Paid Ads,Retail,Enterprise,Taiwan,New
224,2025-12-03,Company_00224,Paid Ads,Professional Services,SMB,Hong Kong,New
225,2024-10-09,Company_00225,Website,Technology,Enterprise,Hong Kong,New
226,2024-04-03,Company_00226,Outbound,Professional Services,Mid-Market,Taiwan,New
227,2024-02-21,Company_00227,Outbound,Retail,Enterprise,Japan,New
228,2024-03-11,Company_00228,Outbound,Financial Services,SMB,Japan,New
229,2024-08-26,Company_00229,Paid Ads,Retail,Mid-Market,Taiwan,New
230,2024-10-10,Company_00230,Partner,Retail,Enterprise,Singapore,New
231,2024-06-27,Company_00231,Website,Technology,SMB,Singapore,New
232,2024-08-31,Company_00232,Referral,Technology,SMB,Taiwan,New
233,2024-05-09,Company_00233,Outbound,Financial Services,SMB,Taiwan,New
234,2025-05-02,Company_00234,Paid Ads,Manufacturing,SMB,Taiwan,New
235,2025-04-07,Company_00235,Referral,Financial Services,SMB,Singapore,New
236,2025-04-14,Company_00236,Referral,Technology,SMB,Hong Kong,New
237,2025-02-15,Company_00237,Paid Ads,Technology,SMB,Hong Kong,New
238,2024-03-16,Company_00238,Partner,Manufacturing,Mid-Market,Taiwan,New
239,2024-05-09,Company_00239,Website,Professional Services,Mid-Market,Singapore,New
240,2025-01-25,Company_00240,Event,Financial Services,SMB,Hong Kong,New
241,2024-04-11,Company_00241,Outbound,Technology,Enterprise,Japan,New
242,2025-03-16,Company_00242,Paid Ads,Retail,SMB,Hong Kong,New
243,2025-02-12,Company_00243,Paid Ads,Technology,SMB,Singapore,New
244,2025-11-12,Company_00244,Website,Retail,Mid-Market,Hong Kong,New
245,2024-03-09,Company_00245,Website,Technology,SMB,Taiwan,New
246,2025-01-16,Company_00246,Outbound,Financial Services,SMB,Singapore,New
247,2025-11-17,Company_00247,Website,Manufacturing,Enterprise,Hong Kong,New
248,2024-02-22,Company_00248,Event,Financial Services,SMB,Taiwan,New
249,2025-08-14,Company_00249,Referral,Retail,Mid-Market,Japan,New
250,2024-04-20,Company_00250,Paid Ads,Financial Services,SMB,Singapore,New
251,2025-08-10,Company_00251,Website,Healthcare,Mid-Market,Taiwan,New
252,2025-09-15,Company_00252,Partner,Professional Services,SMB,Japan,New
253,2024-10-06,Company_00253,Outbound,Manufacturing,Enterprise,Singapore,New
254,2024-01-07,Company_00254,Website,Retail,Mid-Market,Hong Kong,New
255,2024-03-12,Company_00255,Website,Professional Services,Enterprise,Taiwan,New
256,2025-06-27,Company_00256,Website,Healthcare,SMB,Japan,New
257,2025-01-13,Company_00257,Paid Ads,Manufacturing,Mid-Market,Taiwan,New
258,2024-02-23,Company_00258,Website,Financial Services,SMB,Taiwan,New
259,2024-10-05,Company_00259,Paid Ads,Healthcare,SMB,Hong Kong,New
260,2025-02-28,Company_00260,Website,Financial Services,SMB,Hong Kong,New
261,2024-04-23,Company_00261,Website,Professional Services,Mid-Market,Singapore,New
262,2024-02-16,Company_00262,Website,Financial Services,SMB,Japan,New
263,2024-11-04,Company_00263,Partner,Retail,Mid-Market,Singapore,New
264,2024-12-01,Company_00264,Website,Healthcare,Mid-Market,Japan,New
265,2024-05-12,Company_00265,Paid Ads,Professional Services,SMB,Singapore,New
266,2024-03-14,Company_00266,Paid Ads,Professional Services,SMB,Taiwan,New
267,2025-04-15,Company_00267,Partner,Manufacturing,Mid-Market,Hong Kong,New
268,2025-12-27,Company_00268,Referral,Manufacturing,SMB,Taiwan,New
269,2024-11-28,Company_00269,Website,Financial Services,SMB,Singapore,New
270,2024-03-31,Company_00270,Paid Ads,Technology,SMB,Hong Kong,New
271,2025-06-20,Company_00271,Website,Manufacturing,Mid-Market,Japan,New
272,2024-12-07,Company_00272,Outbound,Technology,SMB,Taiwan,New
273,2025-06-27,Company_00273,Referral,Manufacturing,SMB,Japan,New
274,2024-08-29,Company_00274,Website,Manufacturing,SMB,Japan,New
275,2025-11-02,Company_00275,Website,Professional Services,SMB,Hong Kong,New
276,2025-11-28,Company_00276,Partner,Financial Services,Mid-Market,Singapore,New
277,2025-10-04,Company_00277,Paid Ads,Healthcare,SMB,Hong Kong,New
278,2025-10-08,Company_00278,Paid Ads,Manufacturing,Mid-Market,Singapore,New
279,2025-06-03,Company_00279,Website,Healthcare,SMB,Taiwan,New
280,2025-01-12,Company_00280,Outbound,Technology,Mid-Market,Taiwan,New
281,2025-09-21,Company_00281,Referral,Healthcare,SMB,Taiwan,New
282,2025-04-05,Company_00282,Partner,Financial Services,Mid-Market,Singapore,New
283,2025-09-11,Company_00283,Paid Ads,Retail,Enterprise,Hong Kong,New
284,2024-04-15,Company_00284,Outbound,Manufacturing,Enterprise,Taiwan,New
285,2025-05-31,Company_00285,Referral,Technology,SMB,Hong Kong,New
286,2025-03-25,Company_00286,Referral,Financial Services,SMB,Singapore,New
287,2024-10-16,Company_00287,Paid Ads,Manufacturing,Mid-Market,Taiwan,New
288,2025-10-08,Company_00288,Referral,Technology,SMB,Hong Kong,New
289,2024-10-17,Company_00289,Website,Professional Services,Enterprise,Japan,New
290,2024-12-07,Company_00290,Website,Professional Services,SMB,Singapore,New
291,2024-11-13,Company_00291,Event,Professional Services,Mid-Market,Japan,New
292,2025-09-01,Company_00292,Outbound,Technology,SMB,Hong Kong,New
293,2025-10-20,Company_00293,Outbound,Retail,Mid-Market,Taiwan,New
294,2025-10-23,Company_00294,Outbound,Financial Services,SMB,Singapore,New
295,2024-11-12,Company_00295,Website,Retail,SMB,Hong Kong,New
296,2024-07-15,Company_00296,Website,Retail,SMB,Singapore,New
297,2024-04-13,Company_00297,Referral,Financial Services,Mid-Market,Taiwan,New
298,2025-11-08,Company_00298,Paid Ads,Financial Services,SMB,Hong Kong,New
299,2024-06-06,Company_00299,Website,Professional Services,Mid-Market,Japan,New
300,2025-03-24,Company_00300,Website,Manufacturing,Mid-Market,Japan,New
301,2025-03-30,Company_00301,Referral,Professional Services,Mid-Market,Japan,New
302,2025-06-30,Company_00302,Website,Healthcare,Enterprise,Japan,New
303,2025-01-11,Company_00303,Outbound,Financial Services,Enterprise,Hong Kong,New
304,2024-10-15,Company_00304,Outbound,Financial Services,SMB,Japan,New
305,2024-07-23,Company_00305,Outbound,Retail,Enterprise,Taiwan,New
306,2025-10-18,Company_00306,Paid Ads,Manufacturing,Mid-Market,Taiwan,New
307,2025-12-29,Company_00307,Outbound,Technology,SMB,Japan,New
308,2024-10-06,Company_00308,Paid Ads,Financial Services,SMB,Hong Kong,New
309,2024-04-03,Company_00309,Partner,Retail,Mid-Market,Singapore,New
310,2024-01-28,Company_00310,Paid Ads,Healthcare,SMB,Japan,New
311,2025-01-30,Company_00311,Event,Manufacturing,SMB,Singapore,New
312,2024-04-11,Company_00312,Outbound,Professional Services,SMB,Japan,New
313,2024-05-20,Company_00313,Website,Healthcare,Mid-Market,Japan,New
314,2025-12-23,Company_00314,Paid Ads,Financial Services,SMB,Taiwan,New
315,2024-01-20,Company_00315,Website,Retail,SMB,Hong Kong,New
316,2024-04-23,Company_00316,Outbound,Retail,SMB,Taiwan,New
317,2024-09-01,Company_00317,Paid Ads,Financial Services,SMB,Taiwan,New
318,2025-05-26,Company_00318,Referral,Technology,Mid-Market,Japan,New
319,2024-05-27,Company_00319,Website,Technology,Mid-Market,Japan,New
320,2025-08-07,Company_00320,Paid Ads,Professional Services,Mid-Market,Singapore,New
321,2024-03-10,Company_00321,Event,Financial Services,SMB,Taiwan,New
322,2025-02-03,Company_00322,Partner,Technology,Mid-Market,Singapore,New
323,2024-09-16,Company_00323,Outbound,Manufacturing,Mid-Market,Singapore,New
324,2024-09-03,Company_00324,Outbound,Professional Services,SMB,Singapore,New
325,2024-05-16,Company_00325,Website,Financial Services,SMB,Japan,New
326,2025-12-02,Company_00326,Paid Ads,Professional Services,SMB,Japan,New
327,2024-05-18,Company_00327,Website,Healthcare,SMB,Japan,New
328,2024-02-14,Company_00328,Outbound,Technology,SMB,Singapore,New
329,2025-06-11,Company_00329,Paid Ads,Financial Services,SMB,Taiwan,New
330,2025-10-24,Company_00330,Website,Manufacturing,Enterprise,Taiwan,New
331,2025-11-02,Company_00331,Paid Ads,Technology,Mid-Market,Hong Kong,New
332,2025-02-13,Company_00332,Outbound,Healthcare,SMB,Japan,New
333,2025-05-23,Company_00333,Outbound,Manufacturing,Enterprise,Singapore,New
334,2024-03-25,Company_00334,Outbound,Technology,SMB,Japan,New
335,2025-07-12,Company_00335,Website,Technology,SMB,Singapore,New
336,2024-11-09,Company_00336,Paid Ads,Professional Services,SMB,Hong Kong,New
337,2024-12-25,Company_00337,Paid Ads,Professional Services,Enterprise,Singapore,New
338,2025-09-21,Company_00338,Event,Manufacturing,Mid-Market,Taiwan,New
339,2024-03-17,Company_00339,Outbound,Healthcare,SMB,Japan,New
340,2024-02-01,Company_00340,Website,Financial Services,Mid-Market,Hong Kong,New
341,2024-02-05,Company_00341,Website,Retail,Mid-Market,Singapore,New
342,2025-01-05,Company_00342,Paid Ads,Financial Services,SMB,Japan,New
343,2025-11-26,Company_00343,Paid Ads,Manufacturing,SMB,Taiwan,New
344,2025-08-10,Company_00344,Website,Manufacturing,SMB,Singapore,New
345,2024-09-12,Company_00345,Event,Technology,Mid-Market,Hong Kong,New
346,2025-06-14,Company_00346,Paid Ads,Financial Services,SMB,Singapore,New
347,2025-12-21,Company_00347,Paid Ads,Financial Services,SMB,Hong Kong,New
348,2024-07-23,Company_00348,Website,Technology,SMB,Hong Kong,New
349,2024-03-30,Company_00349,Outbound,Manufacturing,Mid-Market,Taiwan,New
350,2025-07-17,Company_00350,Referral,Manufacturing,Enterprise,Japan,New
351,2025-01-05,Company_00351,Referral,Technology,Enterprise,Japan,New
352,2024-08-30,Company_00352,Outbound,Technology,SMB,Singapore,New
353,2025-04-23,Company_00353,Outbound,Financial Services,SMB,Taiwan,New
354,2024-03-08,Company_00354,Paid Ads,Professional Services,Mid-Market,Hong Kong,New
355,2025-02-23,Company_00355,Outbound,Technology,SMB,Singapore,New
356,2025-10-19,Company_00356,Website,Healthcare,Mid-Market,Singapore,New
357,2024-05-11,Company_00357,Partner,Financial Services,Mid-Market,Japan,New
358,2024-05-12,Company_00358,Paid Ads,Technology,Mid-Market,Japan,New
359,2024-11-07,Company_00359,Website,Manufacturing,Enterprise,Japan,New
360,2024-12-20,Company_00360,Partner,Financial Services,Enterprise,Taiwan,New
361,2024-09-13,Company_00361,Website,Financial Services,SMB,Singapore,New
362,2025-09-21,Company_00362,Referral,Financial Services,Mid-Market,Japan,New
363,2024-06-24,Company_00363,Outbound,Professional Services,Enterprise,Singapore,New
364,2025-07-31,Company_00364,Website,Technology,SMB,Singapore,New
365,2025-10-28,Company_00365,Website,Financial Services,SMB,Taiwan,New
366,2025-05-24,Company_00366,Partner,Financial Services,SMB,Singapore,New
367,2025-05-09,Company_00367,Website,Professional Services,SMB,Hong Kong,New
368,2024-03-15,Company_00368,Outbound,Retail,SMB,Hong Kong,New
369,2025-04-20,Company_00369,Website,Financial Services,SMB,Singapore,New
