subscription_id,account_id,plan_name,start_date,renewal_date,contract_term,monthly_fee,subscription_status
130,130,Enterprise,2025-12-11,2026-12-11,12,39463,Active
131,131,Growth,2025-11-24,2027-11-24,24,16062,Active
132,132,Starter,2025-10-03,2026-10-03,12,3838,Active
133,133,Starter,2025-04-25,2026-04-25,12,6701,Churned
134,134,Starter,2025-12-30,2026-12-30,12,7682,Churned
135,135,Starter,2024-05-23,2025-05-23,12,5066,Active
136,136,Enterprise,2025-12-15,2026-12-15,12,49263,Churned
137,137,Starter,2024-04-07,2025-04-07,12,3882,Churned
138,138,Growth,2024-10-21,2026-10-21,24,9847,Churned
139,139,Starter,2025-05-18,2026-05-18,12,6159,Churned
140,140,Starter,2024-03-01,2025-03-01,12,6354,Churned
141,141,Growth,2024-05-30,2025-05-30,12,12959,Active
142,142,Starter,2024-03-14,2025-03-14,12,5281,Churned
143,143,Starter,2025-04-22,2026-04-22,12,7642,Active
144,144,Growth,2024-07-18,2025-07-18,12,22055,Churned
145,145,Starter,2025-08-31,2026-08-31,12,6715,Churned
146,146,Starter,2025-01-10,2026-01-10,12,7840,Active
147,147,Enterprise,2026-02-09,2027-02-09,12,33721,Churned
148,148,Starter,2025-05-08,2026-05-08,12,5986,Active
149,149,Growth,2025-12-20,2027-12-20,24,19103,Active
150,150,Growth,2025-11-11,2026-11-11,12,24839,Active
151,151,Starter,2025-08-11,2026-08-11,12,3063,Active
152,152,Enterprise,2025-10-29,2026-10-29,12,46013,Churned
153,153,Starter,2025-04-20,2026-04-20,12,4997,Active
154,154,Starter,2025-02-02,2026-02-02,12,3167,Churned
155,155,Growth,2024-12-29,2025-12-29,12,14527,Churned
156,156,Enterprise,2025-02-08,2026-02-08,12,59786,Active
157,157,Enterprise,2024-09-24,2026-09-24,24,54450,Churned
158,158,Enterprise,2026-02-24,2027-02-24,12,48688,Active
159,159,Growth,2025-05-10,2026-05-10,12,19533,Active
160,160,Growth,2026-01-09,2027-01-09,12,17372,Active
161,161,Starter,2024-12-01,2025-12-01,12,5053,Churned
162,162,Enterprise,2025-04-13,2026-04-13,12,41181,Active
163,163,Growth,2025-01-16,2026-01-16,12,8412,Active
164,164,Enterprise,2025-12-06,2026-12-06,12,27404,Active
165,165,Growth,2025-09-20,2026-09-20,12,10479,Churned
166,166,Enterprise,2025-10-24,2026-10-24,12,60750,Churned
167,167,Enterprise,2025-11-25,2026-11-25,12,78065,Active
168,168,Growth,2025-07-10,2027-07-10,24,19257,Active
169,169,Growth,2024-12-01,2026-12-01,24,18918,Active
170,170,Starter,2024-06-03,2025-06-03,12,3637,Active
171,171,Starter,2025-05-31,2027-05-31,24,3453,Active
172,172,Growth,2025-01-22,2027-01-22,24,16613,Churned
173,173,Enterprise,2025-10-26,2027-10-26,24,61219,Active
174,174,Starter,2024-11-21,2025-11-21,12,3053,Churned
175,175,Starter,2025-03-03,2026-03-03,12,3758,Churned
176,176,Growth,2024-10-11,2025-10-11,12,23117,Churned
177,177,Growth,2025-11-13,2026-11-13,12,14295,Active
178,178,Growth,2024-04-03,2025-04-03,12,18768,Churned
179,179,Starter,2025-07-15,2026-07-15,12,4150,Active
180,180,Growth,2025-11-22,2026-11-22,12,16957,Churned
181,181,Growth,2025-12-11,2027-12-11,24,16006,Active
182,182,Starter,2024-09-12,2025-09-12,12,7456,Active
183,183,Growth,2024-07-25,2025-07-25,12,14882,Active
184,184,Growth,2025-10-25,2026-10-25,12,14700,Active
185,185,Starter,2025-05-14,2026-05-14,12,7295,Churned
186,186,Growth,2025-01-11,2026-01-11,12,13295,Churned
187,187,Growth,2024-09-11,2025-09-11,12,19126,Churned
188,188,Starter,2025-03-05,2028-03-05,36,5319,Churned
189,189,Growth,2024-06-07,2026-06-07,24,18599,Active
190,190,Starter,2025-01-02,2026-01-02,12,5867,Churned
191,191,Growth,2024-06-05,2025-06-05,12,21217,Active
192,192,Growth,2025-03-10,2026-03-10,12,13994,Active
193,193,Starter,2024-10-02,2025-10-02,12,6400,Churned
194,194,Starter,2024-03-10,2025-03-10,12,3312,Churned
195,195,Enterprise,2024-07-20,2025-07-20,12,28925,Churned
196,196,Starter,2025-09-03,2028-09-03,36,3367,Churned
197,197,Enterprise,2024-12-23,2026-12-23,24,60446,Churned
198,198,Growth,2025-04-24,2026-04-24,12,12617,Active
199,199,Enterprise,2024-07-10,2025-07-10,12,42701,Churned
200,200,Starter,2024-12-03,2025-12-03,12,6730,Active
201,201,Growth,2025-06-03,2026-06-03,12,15849,Churned
202,202,Growth,2024-12-01,2026-12-01,24,22693,Active
203,203,Starter,2024-02-13,2025-02-13,12,3072,Churned
204,204,Growth,2024-09-17,2026-09-17,24,8358,Active
205,205,Starter,2025-04-05,2027-04-05,24,7802,Churned
206,206,Growth,2025-08-25,2026-08-25,12,23333,Churned
207,207,Enterprise,2024-07-25,2026-07-25,24,62982,Churned
208,208,Starter,2024-06-21,2025-06-21,12,4773,Churned
209,209,Growth,2024-05-20,2025-05-20,12,13678,Churned
210,210,Growth,2024-06-01,2027-06-01,36,15473,Churned
211,211,Starter,2025-11-17,2027-11-17,24,4491,Churned
212,212,Starter,2024-12-09,2025-12-09,12,7262,Churned
213,213,Enterprise,2024-03-22,2025-03-22,12,25606,Active
214,214,Starter,2026-01-01,2027-01-01,12,3607,Active
215,215,Growth,2024-06-18,2025-06-18,12,24608,Churned
216,216,Starter,2025-03-04,2026-03-04,12,3557,Churned
217,217,Starter,2024-09-24,2026-09-24,24,3247,Active
218,218,Starter,2025-08-11,2026-08-11,12,5527,Active
219,219,Growth,2025-08-15,2028-08-15,36,18546,Churned
220,220,Growth,2024-04-09,2025-04-09,12,16282,Active
221,221,Starter,2024-09-01,2025-09-01,12,5790,Churned
222,222,Enterprise,2025-03-21,2026-03-21,12,66738,Active
223,223,Growth,2025-07-16,2026-07-16,12,14836,Churned
224,224,Starter,2025-05-04,2028-05-04,36,7166,Active
225,225,Starter,2025-11-05,2028-11-05,36,3317,Active
226,226,Growth,2024-06-26,2025-06-26,12,18129,Churned
227,227,Starter,2025-08-23,2027-08-23,24,7070,Churned
228,228,Starter,2025-09-20,2026-09-20,12,4737,Churned
229,229,Growth,2025-11-27,2026-11-27,12,9644,Active
230,230,Enterprise,2024-03-16,2026-03-16,24,76762,Active
231,231,Growth,2025-05-17,2026-05-17,12,21308,Active
232,232,Growth,2025-08-13,2027-08-13,24,8864,Churned
233,233,Growth,2024-02-16,2025-02-16,12,13521,Churned
234,234,Growth,2025-03-16,2027-03-16,24,18562,Churned
235,235,Growth,2024-08-31,2025-08-31,12,20301,Churned
236,236,Growth,2026-01-21,2027-01-21,12,10562,Churned
237,237,Enterprise,2025-05-25,2026-05-25,12,26921,Active
238,238,Growth,2025-01-05,2026-01-05,12,23756,Churned
239,239,Starter,2025-07-21,2026-07-21,12,4139,Churned
240,240,Starter,2026-01-10,2027-01-10,12,4321,Churned
241,241,Growth,2025-10-21,2027-10-21,24,14539,Active
242,242,Enterprise,2024-12-12,2025-12-12,12,52667,Active
243,243,Enterprise,2026-01-24,2027-01-24,12,32223,Churned
244,244,Starter,2025-03-30,2027-03-30,24,7493,Churned
245,245,Enterprise,2025-07-12,2027-07-12,24,31797,Active
246,246,Enterprise,2024-08-30,2026-08-30,24,26911,Active
247,247,Starter,2025-09-21,2026-09-21,12,5627,Churned
248,248,Starter,2024-11-10,2025-11-10,12,7384,Active
249,249,Enterprise,2025-02-12,2027-02-12,24,29684,Churned
250,250,Growth,2025-06-19,2027-06-19,24,14556,Churned
251,251,Growth,2024-09-04,2025-09-04,12,19078,Active
252,252,Enterprise,2025-03-31,2026-03-31,12,31006,Active
253,253,Starter,2024-04-19,2025-04-19,12,3189,Churned
254,254,Enterprise,2024-05-18,2025-05-18,12,62289,Churned
255,255,Starter,2024-07-01,2025-07-01,12,4807,Active
256,256,Enterprise,2026-02-28,2027-02-28,12,35662,Churned
257,257,Enterprise,2025-10-07,2026-10-07,12,30525,Churned
258,258,Starter,2025-06-06,2026-06-06,12,5498,Churned
259,259,Starter,2025-08-16,2026-08-16,12,3331,Churned
260,260,Growth,2024-08-16,2025-08-16,12,15755,Churned
261,261,Starter,2025-05-02,2026-05-02,12,3055,Active
262,262,Starter,2024-03-31,2026-03-31,24,6318,Churned
263,263,Starter,2025-08-26,2026-08-26,12,4545,Active
264,264,Starter,2024-03-12,2025-03-12,12,3181,Churned
265,265,Starter,2025-04-09,2026-04-09,12,5281,Active
266,266,Growth,2025-02-13,2026-02-13,12,16572,Churned
267,267,Enterprise,2025-08-30,2026-08-30,12,44406,Churned
268,268,Enterprise,2025-03-08,2026-03-08,12,29935,Churned
269,269,Growth,2025-04-26,2026-04-26,12,17689,Active
270,270,Starter,2025-10-16,2026-10-16,12,4941,Churned
271,271,Starter,2025-10-03,2026-10-03,12,3180,Active
272,272,Enterprise,2025-01-13,2026-01-13,12,70174,Active
273,273,Growth,2024-05-16,2025-05-16,12,22506,Churned
274,274,Starter,2025-10-21,2026-10-21,12,7665,Active
275,275,Starter,2025-10-18,2026-10-18,12,5438,Churned
276,276,Growth,2025-06-29,2026-06-29,12,15199,Churned
277,277,Starter,2024-10-05,2025-10-05,12,3950,Churned
278,278,Enterprise,2025-08-13,2026-08-13,12,26767,Churned
279,279,Enterprise,2025-06-22,2027-06-22,24,47383,Churned
280,280,Starter,2025-04-15,2026-04-15,12,5940,Churned
281,281,Starter,2024-06-23,2026-06-23,24,6851,Active
282,282,Growth,2024-08-07,2025-08-07,12,12456,Active
283,283,Growth,2025-01-14,2026-01-14,12,13635,Churned
284,284,Starter,2024-06-09,2025-06-09,12,4572,Churned
285,285,Starter,2025-11-14,2026-11-14,12,7671,Active
286,286,Starter,2025-05-11,2026-05-11,12,5172,Churned
287,287,Starter,2024-05-14,2025-05-14,12,3072,Active
288,288,Starter,2024-07-09,2025-07-09,12,3780,Churned
289,289,Growth,2024-04-20,2026-04-20,24,22792,Churned
290,290,Starter,2024-10-31,2027-10-31,36,3623,Churned
291,291,Growth,2025-02-27,2026-02-27,12,24879,Active
292,292,Growth,2025-12-21,2026-12-21,12,22005,Active
293,293,Enterprise,2025-05-18,2028-05-18,36,68872,Churned
294,294,Growth,2024-03-14,2025-03-14,12,8218,Churned
295,295,Starter,2025-12-12,2026-12-12,12,4722,Churned
296,296,Growth,2025-06-12,2026-06-12,12,11998,Churned
297,297,Enterprise,2025-09-18,2026-09-18,12,28772,Churned
298,298,Starter,2024-10-15,2027-10-15,36,5774,Churned
299,299,Growth,2025-08-07,2027-08-07,24,17464,Churned
300,300,Enterprise,2025-11-03,2026-11-03,12,61460,Active
301,301,Enterprise,2025-08-09,2027-08-09,24,37921,Churned
302,302,Starter,2025-03-25,2026-03-25,12,7696,Churned
303,303,Growth,2025-06-10,2026-06-10,12,11010,Active
304,304,Starter,2024-08-07,2025-08-07,12,5444,Churned
305,305,Enterprise,2024-10-06,2025-10-06,12,51720,Churned
306,306,Growth,2024-09-15,2025-09-15,12,21758,Churned
307,307,Growth,2024-10-26,2025-10-26,12,24362,Active
308,308,Growth,2026-02-25,2027-02-25,12,15227,Active
309,309,Starter,2024-04-23,2025-04-23,12,6205,Churned
310,310,Enterprise,2024-11-01,2027-11-01,36,38048,Churned
311,311,Enterprise,2025-05-20,2026-05-20,12,56862,Churned
312,312,Starter,2025-05-13,2026-05-13,12,5871,Churned
313,313,Growth,2026-01-10,2027-01-10,12,11129,Churned
314,314,Starter,2025-04-22,2027-04-22,24,5515,Churned
315,315,Growth,2025-04-22,2028-04-22,36,19675,Churned
316,316,Growth,2024-10-20,2025-10-20,12,19593,Churned
317,317,Growth,2025-05-31,2026-05-31,12,15508,Churned
318,318,Starter,2025-02-12,2026-02-12,12,5821,Churned
319,319,Starter,2025-05-15,2027-05-15,24,4546,Active
320,320,Growth,2026-01-14,2027-01-14,12,23448,Active
321,321,Growth,2024-07-05,2025-07-05,12,16234,Churned
322,322,Starter,2026-01-17,2027-01-17,12,7658,Active
323,323,Growth,2024-10-06,2026-10-06,24,14087,Churned
324,324,Enterprise,2025-07-02,2026-07-02,12,37161,Churned
325,325,Starter,2025-06-19,2027-06-19,24,6709,Churned
326,326,Starter,2025-11-01,2026-11-01,12,4881,Churned
327,327,Growth,2024-09-17,2025-09-17,12,12521,Active
328,328,Enterprise,2024-03-13,2025-03-13,12,64823,Active
329,329,Growth,2024-10-17,2027-10-17,36,13930,Active
330,330,Enterprise,2026-01-05,2027-01-05,12,26988,Churned
331,331,Starter,2025-10-03,2026-10-03,12,3500,Active
332,332,Enterprise,2026-01-26,2028-01-26,24,26998,Churned
333,333,Starter,2024-07-09,2026-07-09,24,3894,Churned
334,334,Growth,2025-07-16,2027-07-16,24,20643,Active
335,335,Enterprise,2025-01-13,2026-01-13,12,70304,Churned
336,336,Starter,2024-07-06,2025-07-06,12,6784,Churned
337,337,Growth,2025-03-05,2026-03-05,12,15937,Active
338,338,Growth,2025-03-26,2026-03-26,12,23871,Active
339,339,Growth,2025-06-14,2026-06-14,12,17683,Active
340,340,Growth,2025-08-04,2026-08-04,12,18965,Churned
341,341,Enterprise,2025-12-05,2026-12-05,12,68310,Churned
342,342,Enterprise,2024-12-17,2025-12-17,12,58738,Active
343,343,Growth,2025-01-04,2026-01-04,12,16746,Churned
344,344,Starter,2024-03-10,2025-03-10,12,7931,Active
345,345,Enterprise,2025-04-04,2028-04-04,36,44316,Churned
346,346,Starter,2025-02-25,2026-02-25,12,4736,Active
347,347,Starter,2024-07-07,2025-07-07,12,7384,Churned
348,348,Growth,2025-04-26,2026-04-26,12,10707,Churned
349,349,Starter,2025-03-14,2026-03-14,12,7414,Churned
350,350,Growth,2024-09-08,2025-09-08,12,18456,Churned
351,351,Starter,2025-12-21,2027-12-21,24,6682,Churned
352,352,Growth,2024-07-03,2026-07-03,24,24246,Churned
353,353,Enterprise,2024-09-28,2026-09-28,24,41473,Churned
354,354,Growth,2024-12-19,2025-12-19,12,13678,Active
355,355,Starter,2025-06-13,2027-06-13,24,6167,Churned
356,356,Starter,2025-12-19,2027-12-19,24,5346,Churned
357,357,Starter,2025-03-17,2026-03-17,12,7947,Active
358,358,Growth,2025-05-19,2026-05-19,12,9620,Churned
359,359,Starter,2025-03-07,2026-03-07,12,4907,Active
360,360,Starter,2024-02-06,2027-02-06,36,4834,Active
361,361,Starter,2024-05-13,2025-05-13,12,6501,Churned
362,362,Enterprise,2026-02-21,2027-02-21,12,77777,Active
363,363,Growth,2024-02-29,2025-02-28,12,22760,Churned
364,364,Starter,2024-05-13,2025-05-13,12,7892,Active
365,365,Enterprise,2024-06-12,2025-06-12,12,39518,Churned
366,366,Starter,2024-11-14,2026-11-14,24,3319,Churned
367,367,Starter,2024-11-01,2025-11-01,12,5888,Churned
368,368,Starter,2025-07-17,2027-07-17,24,6972,Active
369,369,Starter,2025-07-08,2027-07-08,24,6981,Active
370,370,Growth,2025-03-15,2026-03-15,12,10812,Churned
371,371,Enterprise,2025-10-21,2027-10-21,24,56697,Active
372,372,Growth,2025-08-28,2027-08-28,24,8730,Active
373,373,Growth,2024-08-04,2025-08-04,12,13982,Active
374,374,Starter,2025-07-12,2026-07-12,12,4661,Churned
375,375,Starter,2024-06-29,2025-06-29,12,6248,Churned
376,376,Starter,2024-05-15,2026-05-15,24,5709,Churned
377,377,Starter,2025-10-02,2026-10-02,12,3410,Churned
378,378,Enterprise,2024-03-22,2026-03-22,24,50288,Churned
379,379,Enterprise,2025-07-23,2026-07-23,12,64541,Active
380,380,Enterprise,2024-12-27,2025-12-27,12,71984,Churned
381,381,Enterprise,2025-12-22,2026-12-22,12,47254,Churned
382,382,Enterprise,2025-12-04,2027-12-04,24,31638,Active
383,383,Enterprise,2025-06-18,2026-06-18,12,49212,Churned
384,384,Enterprise,2026-02-12,2027-02-12,12,50554,Churned
385,385,Starter,2024-03-29,2025-03-29,12,7402,Churned
386,386,Starter,2025-06-23,2026-06-23,12,5083,Active
387,387,Starter,2024-05-17,2025-05-17,12,3469,Churned
388,388,Enterprise,2026-02-08,2028-02-08,24,38166,Churned
389,389,Starter,2025-08-19,2027-08-19,24,7791,Churned
390,390,Growth,2025-11-20,2026-11-20,12,18062,Churned
391,391,Enterprise,2025-09-17,2026-09-17,12,25419,Active
392,392,Enterprise,2024-08-24,2027-08-24,36,49284,Active
393,393,Starter,2024-07-26,2025-07-26,12,7340,Churned
394,394,Starter,2025-05-04,2026-05-04,12,7879,Churned
395,395,Starter,2024-05-30,2025-05-30,12,4385,Churned
396,396,Enterprise,2024-11-28,2025-11-28,12,45772,Churned
397,397,Starter,2025-07-19,2028-07-19,36,7401,Churned
398,398,Growth,2026-01-19,2027-01-19,12,14378,Active
399,399,Starter,2025-05-13,2027-05-13,24,6762,Active
400,400,Starter,2026-03-04,2027-03-04,12,3856,Active
401,401,Starter,2025-03-29,2026-03-29,12,5880,Active
402,402,Starter,2025-06-18,2026-06-18,12,6501,Churned
403,403,Starter,2024-08-28,2025-08-28,12,4652,Churned
404,404,Enterprise,2025-03-22,2026-03-22,12,69622,Churned
405,405,Growth,2024-12-17,2025-12-17,12,12970,Churned
406,406,Starter,2024-11-22,2027-11-22,36,5935,Churned
407,407,Starter,2025-02-25,2027-02-25,24,6233,Active
408,408,Growth,2024-11-29,2025-11-29,12,10642,Active
409,409,Starter,2025-06-20,2026-06-20,12,5427,Churned
410,410,Enterprise,2025-07-06,2027-07-06,24,53956,Churned
411,411,Starter,2025-05-14,2026-05-14,12,4379,Active
412,412,Enterprise,2024-09-18,2025-09-18,12,62281,Churned
413,413,Growth,2025-05-04,2026-05-04,12,22629,Active
414,414,Growth,2024-02-24,2025-02-24,12,11922,Active
415,415,Enterprise,2025-12-02,2028-12-02,36,42101,Active
416,416,Enterprise,2024-06-30,2025-06-30,12,57349,Active
417,417,Enterprise,2024-03-20,2025-03-20,12,72282,Churned
418,418,Growth,2026-01-24,2027-01-24,12,9868,Churned
419,419,Starter,2025-05-23,2026-05-23,12,3249,Churned
420,420,Enterprise,2024-05-27,2025-05-27,12,67113,Active
421,421,Starter,2024-04-27,2025-04-27,12,3696,Active
422,422,Starter,2024-06-14,2025-06-14,12,4018,Active
423,423,Starter,2025-09-16,2026-09-16,12,6512,Active
424,424,Growth,2024-07-25,2025-07-25,12,13815,Churned
425,425,Growth,2025-08-22,2026-08-22,12,12078,Active
426,426,Growth,2025-06-10,2026-06-10,12,16467,Churned
427,427,Starter,2025-08-21,2026-08-21,12,5181,Active
428,428,Starter,2024-03-27,2025-03-27,12,7985,Churned
429,429,Starter,2025-04-11,2026-04-11,12,4939,Churned
430,430,Enterprise,2025-08-24,2026-08-24,12,28524,Active
431,431,Growth,2025-08-23,2028-08-23,36,20661,Churned
432,432,Growth,2024-09-04,2025-09-04,12,20625,Churned
433,433,Starter,2024-09-10,2025-09-10,12,3886,Churned
434,434,Starter,2024-03-22,2025-03-22,12,5596,Churned
435,435,Starter,2024-05-01,2025-05-01,12,7961,Churned
436,436,Enterprise,2024-10-16,2025-10-16,12,45538,Active
437,437,Enterprise,2025-08-13,2026-08-13,12,36575,Churned
438,438,Enterprise,2024-06-22,2026-06-22,24,29850,Active
439,439,Starter,2024-03-30,2026-03-30,24,7044,Active
440,440,Starter,2025-12-21,2026-12-21,12,6422,Active
441,441,Growth,2024-06-21,2025-06-21,12,15716,Active
442,442,Growth,2026-01-01,2028-01-01,24,18160,Churned
443,443,Growth,2025-11-01,2026-11-01,12,11998,Churned
444,444,Growth,2025-09-04,2026-09-04,12,17274,Churned
445,445,Starter,2025-08-03,2027-08-03,24,6913,Churned
446,446,Growth,2024-11-01,2025-11-01,12,17942,Churned
447,447,Growth,2025-06-04,2027-06-04,24,10456,Churned
448,448,Growth,2025-05-22,2026-05-22,12,12626,Churned
