account_id,company_name,segment,industry,region,employee_size,customer_since,account_status
37,Company_00320,Mid-Market,Professional Services,Singapore,184,2025-09-14,Active
38,Company_00322,Mid-Market,Technology,Singapore,317,2025-04-04,Active
39,Company_00327,SMB,Healthcare,Japan,63,2024-06-04,Active
40,Company_00340,Mid-Market,Financial Services,Hong Kong,306,2024-03-17,Churned
41,Company_00341,Mid-Market,Retail,Singapore,456,2024-04-01,Active
42,Company_00357,Mid-Market,Financial Services,Japan,191,2024-08-03,Active
43,Company_00372,Enterprise,Manufacturing,Hong Kong,871,2024-08-23,Active
44,Company_00375,SMB,Healthcare,Hong Kong,64,2025-07-09,Churned
45,Company_00380,Mid-Market,Manufacturing,Taiwan,387,2025-10-08,Active
46,Company_00383,SMB,Retail,Hong Kong,51,2025-09-03,Churned
47,Company_00389,Enterprise,Professional Services,Taiwan,3711,2025-05-11,Active
48,Company_00393,SMB,Manufacturing,Hong Kong,62,2024-08-21,Active
49,Company_00405,Mid-Market,Professional Services,Japan,488,2024-07-12,Churned
50,Company_00411,Mid-Market,Financial Services,Taiwan,489,2025-12-23,Churned
51,Company_00425,Enterprise,Financial Services,Singapore,855,2024-09-24,Churned
52,Company_00445,SMB,Manufacturing,Japan,88,2024-09-19,Churned
53,Company_00449,SMB,Financial Services,Taiwan,10,2025-03-22,Active
54,Company_00454,SMB,Financial Services,Singapore,29,2025-11-17,Active
55,Company_00458,SMB,Financial Services,Hong Kong,75,2025-05-30,Churned
56,Company_00466,SMB,Financial Services,Singapore,80,2025-03-15,Active
57,Company_00470,SMB,Professional Services,Singapore,52,2025-08-23,Active
58,Company_00473,SMB,Professional Services,Hong Kong,48,2025-06-19,Churned
59,Company_00507,SMB,Healthcare,Taiwan,18,2025-03-12,Active
60,Company_00510,SMB,Retail,Hong Kong,18,2025-06-06,Churned
61,Company_00550,Enterprise,Professional Services,Japan,1131,2026-01-14,Churned
62,Company_00551,SMB,Manufacturing,Singapore,25,2025-08-09,Active
63,Company_00566,SMB,Manufacturing,Singapore,91,2024-12-21,Churned
64,Company_00572,SMB,Technology,Singapore,26,2024-04-10,Churned
65,Company_00592,Enterprise,Healthcare,Taiwan,736,2025-06-22,Churned
66,Company_00600,SMB,Retail,Hong Kong,21,2025-01-29,Churned
67,Company_00611,SMB,Professional Services,Singapore,55,2025-01-10,Churned
68,Company_00621,SMB,Financial Services,Taiwan,14,2024-11-15,Churned
69,Company_00628,Mid-Market,Manufacturing,Taiwan,179,2024-04-17,Churned
70,Company_00644,Mid-Market,Healthcare,Japan,292,2024-04-15,Churned
71,Company_00646,SMB,Healthcare,Taiwan,21,2024-09-03,Churned
72,Company_00647,SMB,Technology,Taiwan,52,2025-09-26,Churned
73,Company_00656,SMB,Healthcare,Singapore,57,2025-02-14,Churned
74,Company_00669,Enterprise,Manufacturing,Singapore,2583,2024-08-09,Churned
75,Company_00692,SMB,Healthcare,Singapore,29,2025-09-08,Churned
76,Company_00704,Mid-Market,Financial Services,Japan,337,2025-08-25,Active
77,Company_00711,Mid-Market,Financial Services,Taiwan,453,2025-05-08,Churned
78,Company_00733,SMB,Professional Services,Hong Kong,67,2026-02-07,Active
79,Company_00735,Enterprise,Financial Services,Singapore,1246,2025-10-21,Active
80,Company_00737,Mid-Market,Manufacturing,Singapore,430,2025-07-11,Active
81,Company_00749,Mid-Market,Professional Services,Taiwan,239,2025-07-07,Churned
82,Company_00757,SMB,Professional Services,Hong Kong,18,2024-06-01,Churned
83,Company_00768,Mid-Market,Manufacturing,Taiwan,126,2025-03-21,Active
84,Company_00770,SMB,Healthcare,Taiwan,49,2024-03-15,Churned
85,Company_00779,SMB,Financial Services,Taiwan,55,2024-06-15,Churned
86,Company_00788,SMB,Professional Services,Japan,27,2024-05-18,Active
87,Company_00796,SMB,Retail,Hong Kong,76,2024-02-09,Churned
88,Company_00811,Mid-Market,Retail,Taiwan,374,2024-10-12,Active
89,Company_00813,Enterprise,Financial Services,Japan,4364,2025-06-06,Churned
90,Company_00814,SMB,Professional Services,Hong Kong,62,2025-06-23,Active
91,Company_00821,Mid-Market,Manufacturing,Japan,248,2026-03-19,Churned
92,Company_00831,Mid-Market,Professional Services,Japan,474,2024-05-18,Active
93,Company_00866,SMB,Financial Services,Taiwan,65,2024-02-25,Churned
94,Company_00873,SMB,Financial Services,Singapore,74,2024-05-11,Active
95,Company_00876,Mid-Market,Manufacturing,Japan,361,2025-01-17,Churned
96,Company_00877,Enterprise,Manufacturing,Japan,675,2025-11-07,Churned
97,Company_00892,SMB,Professional Services,Singapore,89,2024-03-14,Churned
98,Company_00897,SMB,Technology,Singapore,13,2025-04-14,Churned
99,Company_00908,SMB,Technology,Hong Kong,97,2025-05-17,Churned
100,Company_00912,Enterprise,Technology,Hong Kong,2566,2026-02-13,Churned
101,Company_00939,SMB,Financial Services,Singapore,89,2025-03-13,Churned
102,Company_00943,SMB,Technology,Japan,98,2025-05-23,Active
103,Company_00948,SMB,Manufacturing,Japan,51,2024-09-20,Active
104,Company_00962,SMB,Manufacturing,Japan,29,2025-01-22,Churned
105,Company_00964,SMB,Healthcare,Japan,58,2025-08-23,Churned
106,Company_00972,SMB,Professional Services,Singapore,13,2025-09-03,Churned
107,Company_00986,Enterprise,Healthcare,Singapore,3247,2025-04-25,Churned
108,Company_00992,Enterprise,Healthcare,Hong Kong,1395,2025-12-03,Active
109,Company_00994,SMB,Retail,Hong Kong,74,2024-02-06,Churned
110,Company_00998,Mid-Market,Financial Services,Hong Kong,288,2024-12-14,Churned
111,Company_01006,SMB,Healthcare,Hong Kong,47,2024-03-14,Churned
112,Company_01028,Mid-Market,Healthcare,Japan,475,2024-09-27,Active
113,Company_01033,SMB,Financial Services,Singapore,59,2025-07-28,Active
114,Company_01034,SMB,Technology,Japan,45,2024-09-05,Active
115,Company_01051,SMB,Manufacturing,Singapore,22,2024-05-03,Churned
116,Company_01069,SMB,Professional Services,Singapore,35,2024-12-29,Active
117,Company_01099,Mid-Market,Financial Services,Japan,348,2025-10-24,Churned
118,Company_01121,Mid-Market,Technology,Singapore,174,2025-04-21,Active
119,Company_01138,Mid-Market,Financial Services,Taiwan,492,2025-12-08,Churned
120,Company_01140,SMB,Manufacturing,Singapore,81,2025-04-23,Active
121,Company_01173,SMB,Professional Services,Hong Kong,23,2024-05-29,Churned
122,Company_01176,Mid-Market,Technology,Hong Kong,154,2025-05-26,Active
123,Company_01178,SMB,Retail,Singapore,26,2025-05-12,Churned
124,Company_01183,Mid-Market,Technology,Hong Kong,185,2025-02-14,Active
125,Company_01200,SMB,Retail,Hong Kong,36,2025-12-03,Churned
126,Company_01202,SMB,Professional Services,Hong Kong,19,2024-06-19,Churned
127,Company_01210,Mid-Market,Professional Services,Singapore,255,2026-03-08,Active
128,Company_01231,Mid-Market,Financial Services,Taiwan,234,2025-04-13,Active
129,Company_01233,SMB,Manufacturing,Singapore,81,2025-10-17,Churned
130,Company_01240,Enterprise,Professional Services,Taiwan,4868,2025-12-11,Active
131,Company_01243,Mid-Market,Manufacturing,Singapore,307,2025-11-24,Active
132,Company_01247,SMB,Professional Services,Japan,39,2025-10-03,Active
133,Company_01249,SMB,Technology,Taiwan,63,2025-04-25,Churned
134,Company_01266,SMB,Financial Services,Japan,64,2025-12-30,Churned
135,Company_01273,SMB,Financial Services,Singapore,74,2024-05-23,Active
136,Company_01283,Mid-Market,Professional Services,Singapore,116,2025-12-15,Churned
137,Company_01296,SMB,Retail,Hong Kong,32,2024-04-07,Churned
138,Company_01304,Mid-Market,Healthcare,Japan,411,2024-10-21,Churned
139,Company_01306,SMB,Financial Services,Hong Kong,50,2025-05-18,Churned
140,Company_01310,SMB,Manufacturing,Hong Kong,57,2024-03-01,Churned
141,Company_01328,SMB,Healthcare,Japan,44,2024-05-30,Active
142,Company_01336,SMB,Manufacturing,Japan,79,2024-03-14,Churned
143,Company_01340,SMB,Retail,Taiwan,53,2025-04-22,Active
144,Company_01344,SMB,Professional Services,Singapore,82,2024-07-18,Churned
145,Company_01346,SMB,Healthcare,Taiwan,91,2025-08-31,Churned
146,Company_01348,Mid-Market,Financial Services,Hong Kong,405,2025-01-10,Active
147,Company_01368,Enterprise,Healthcare,Hong Kong,4163,2026-02-09,Churned
148,Company_01382,SMB,Financial Services,Singapore,52,2025-05-08,Active
149,Company_01389,Mid-Market,Technology,Japan,194,2025-12-20,Active
150,Company_01390,Mid-Market,Retail,Taiwan,310,2025-11-11,Active
151,Company_01393,Mid-Market,Technology,Taiwan,277,2025-08-11,Active
152,Company_01409,Enterprise,Professional Services,Singapore,4506,2025-10-29,Churned
153,Company_01418,SMB,Technology,Singapore,14,2025-04-20,Active
154,Company_01427,SMB,Retail,Singapore,17,2025-02-02,Churned
155,Company_01431,Mid-Market,Healthcare,Singapore,277,2024-12-29,Churned
156,Company_01436,Enterprise,Manufacturing,Hong Kong,3862,2025-02-08,Active
157,Company_01437,Mid-Market,Technology,Taiwan,171,2024-09-24,Churned
158,Company_01442,Enterprise,Retail,Japan,4790,2026-02-24,Active
159,Company_01456,Mid-Market,Professional Services,Japan,458,2025-05-10,Active
160,Company_01462,SMB,Manufacturing,Hong Kong,47,2026-01-09,Active
161,Company_01467,SMB,Professional Services,Taiwan,46,2024-12-01,Churned
162,Company_01470,SMB,Professional Services,Taiwan,34,2025-04-13,Active
163,Company_01472,Mid-Market,Technology,Singapore,174,2025-01-16,Active
164,Company_01481,Enterprise,Technology,Japan,766,2025-12-06,Active
165,Company_01503,Mid-Market,Professional Services,Hong Kong,463,2025-09-20,Churned
166,Company_01506,Enterprise,Manufacturing,Hong Kong,4933,2025-10-24,Churned
167,Company_01523,Enterprise,Healthcare,Hong Kong,1221,2025-11-25,Active
168,Company_01534,Enterprise,Healthcare,Singapore,1263,2025-07-10,Active
169,Company_01537,Enterprise,Professional Services,Singapore,3990,2024-12-01,Active
170,Company_01539,SMB,Professional Services,Hong Kong,15,2024-06-03,Active
171,Company_01544,SMB,Professional Services,Japan,86,2025-05-31,Active
172,Company_01575,SMB,Retail,Singapore,62,2025-01-22,Churned
173,Company_01582,Enterprise,Professional Services,Singapore,1958,2025-10-26,Active
174,Company_01587,SMB,Financial Services,Japan,88,2024-11-21,Churned
175,Company_01596,SMB,Retail,Japan,97,2025-03-03,Churned
176,Company_01599,Mid-Market,Manufacturing,Hong Kong,226,2024-10-11,Churned
177,Company_01601,Mid-Market,Healthcare,Hong Kong,389,2025-11-13,Active
178,Company_01630,Mid-Market,Financial Services,Hong Kong,470,2024-04-03,Churned
179,Company_01642,SMB,Manufacturing,Taiwan,51,2025-07-15,Active
180,Company_01644,Enterprise,Manufacturing,Singapore,4052,2025-11-22,Churned
181,Company_01648,Mid-Market,Technology,Hong Kong,146,2025-12-11,Active
182,Company_01656,SMB,Manufacturing,Hong Kong,34,2024-09-12,Active
183,Company_01685,SMB,Technology,Singapore,58,2024-07-25,Active
184,Company_01692,Mid-Market,Financial Services,Singapore,147,2025-10-25,Active
185,Company_01695,SMB,Retail,Singapore,51,2025-05-14,Churned
186,Company_01703,SMB,Manufacturing,Singapore,23,2025-01-11,Churned
187,Company_01715,SMB,Retail,Japan,11,2024-09-11,Churned
188,Company_01738,SMB,Healthcare,Hong Kong,10,2025-03-05,Churned
189,Company_01759,Mid-Market,Financial Services,Singapore,204,2024-06-07,Active
190,Company_01764,SMB,Healthcare,Taiwan,73,2025-01-02,Churned
191,Company_01765,Mid-Market,Retail,Hong Kong,232,2024-06-05,Active
192,Company_01787,SMB,Professional Services,Taiwan,90,2025-03-10,Active
193,Company_01789,SMB,Technology,Hong Kong,91,2024-10-02,Churned
194,Company_01794,SMB,Professional Services,Japan,83,2024-03-10,Churned
195,Company_01798,Enterprise,Retail,Japan,1715,2024-07-20,Churned
196,Company_01807,SMB,Manufacturing,Singapore,25,2025-09-03,Churned
197,Company_01834,Mid-Market,Technology,Hong Kong,176,2024-12-23,Churned
198,Company_01853,Mid-Market,Retail,Hong Kong,104,2025-04-24,Active
199,Company_01859,Enterprise,Financial Services,Taiwan,3935,2024-07-10,Churned
200,Company_01861,SMB,Financial Services,Hong Kong,88,2024-12-03,Active
201,Company_01862,Mid-Market,Manufacturing,Japan,362,2025-06-03,Churned
202,Company_01867,SMB,Professional Services,Hong Kong,59,2024-12-01,Active
203,Company_01872,SMB,Manufacturing,Hong Kong,14,2024-02-13,Churned
204,Company_01878,Mid-Market,Retail,Taiwan,125,2024-09-17,Active
205,Company_01892,SMB,Technology,Hong Kong,98,2025-04-05,Churned
206,Company_01898,SMB,Professional Services,Singapore,73,2025-08-25,Churned
207,Company_01899,Enterprise,Financial Services,Singapore,4323,2024-07-25,Churned
208,Company_01913,SMB,Retail,Taiwan,97,2024-06-21,Churned
209,Company_01916,Mid-Market,Professional Services,Singapore,267,2024-05-20,Churned
210,Company_01921,Enterprise,Professional Services,Japan,4163,2024-06-01,Churned
211,Company_01972,Mid-Market,Professional Services,Japan,147,2025-11-17,Churned
212,Company_01974,SMB,Retail,Japan,56,2024-12-09,Churned
213,Company_01986,SMB,Manufacturing,Japan,56,2024-03-22,Active
214,Company_01994,SMB,Professional Services,Japan,52,2026-01-01,Active
215,Company_01997,SMB,Technology,Hong Kong,59,2024-06-18,Churned
216,Company_02011,SMB,Professional Services,Hong Kong,27,2025-03-04,Churned
217,Company_02013,SMB,Manufacturing,Singapore,98,2024-09-24,Active
218,Company_02026,SMB,Retail,Hong Kong,34,2025-08-11,Active
219,Company_02031,SMB,Healthcare,Japan,83,2025-08-15,Churned
220,Company_02034,Mid-Market,Professional Services,Hong Kong,450,2024-04-09,Active
221,Company_02050,SMB,Manufacturing,Japan,46,2024-09-01,Churned
222,Company_02054,Mid-Market,Manufacturing,Singapore,354,2025-03-21,Active
223,Company_02060,Mid-Market,Professional Services,Singapore,313,2025-07-16,Churned
224,Company_02061,SMB,Manufacturing,Hong Kong,49,2025-05-04,Active
225,Company_02063,Mid-Market,Retail,Hong Kong,309,2025-11-05,Active
226,Company_02064,Mid-Market,Retail,Singapore,460,2024-06-26,Churned
227,Company_02065,SMB,Technology,Hong Kong,88,2025-08-23,Churned
228,Company_02067,SMB,Technology,Hong Kong,18,2025-09-20,Churned
229,Company_02073,Mid-Market,Technology,Japan,477,2025-11-27,Active
230,Company_02093,Enterprise,Healthcare,Hong Kong,2810,2024-03-16,Active
231,Company_02095,Mid-Market,Retail,Taiwan,272,2025-05-17,Active
232,Company_02103,SMB,Financial Services,Singapore,68,2025-08-13,Churned
233,Company_02111,SMB,Retail,Singapore,75,2024-02-16,Churned
234,Company_02113,SMB,Technology,Singapore,57,2025-03-16,Churned
235,Company_02116,Mid-Market,Healthcare,Hong Kong,417,2024-08-31,Churned
236,Company_02140,SMB,Manufacturing,Hong Kong,99,2026-01-21,Churned
237,Company_02141,Enterprise,Healthcare,Singapore,556,2025-05-25,Active
238,Company_02161,SMB,Technology,Hong Kong,84,2025-01-05,Churned
239,Company_02174,Mid-Market,Manufacturing,Taiwan,272,2025-07-21,Churned
240,Company_02176,SMB,Healthcare,Taiwan,25,2026-01-10,Churned
241,Company_02181,SMB,Healthcare,Singapore,87,2025-10-21,Active
242,Company_02189,Mid-Market,Retail,Hong Kong,471,2024-12-12,Active
243,Company_02195,SMB,Professional Services,Japan,80,2026-01-24,Churned
244,Company_02209,Mid-Market,Retail,Hong Kong,114,2025-03-30,Churned
245,Company_02217,Enterprise,Financial Services,Japan,3063,2025-07-12,Active
246,Company_02222,Enterprise,Retail,Japan,1000,2024-08-30,Active
247,Company_02234,Mid-Market,Retail,Singapore,283,2025-09-21,Churned
248,Company_02238,SMB,Professional Services,Taiwan,58,2024-11-10,Active
249,Company_02242,Enterprise,Professional Services,Taiwan,644,2025-02-12,Churned
250,Company_02243,SMB,Retail,Taiwan,37,2025-06-19,Churned
251,Company_02249,Mid-Market,Professional Services,Japan,165,2024-09-04,Active
252,Company_02251,Enterprise,Technology,Hong Kong,3692,2025-03-31,Active
253,Company_02268,SMB,Manufacturing,Taiwan,61,2024-04-19,Churned
254,Company_02283,Enterprise,Retail,Taiwan,1597,2024-05-18,Churned
255,Company_02288,SMB,Professional Services,Taiwan,98,2024-07-01,Active
256,Company_02316,Enterprise,Manufacturing,Singapore,3286,2026-02-28,Churned
257,Company_02326,Mid-Market,Manufacturing,Hong Kong,475,2025-10-07,Churned
258,Company_02328,SMB,Financial Services,Taiwan,22,2025-06-06,Churned
259,Company_02336,SMB,Financial Services,Taiwan,17,2025-08-16,Churned
260,Company_02367,Mid-Market,Financial Services,Hong Kong,219,2024-08-16,Churned
261,Company_02381,SMB,Healthcare,Japan,22,2025-05-02,Active
262,Company_02401,SMB,Manufacturing,Singapore,56,2024-03-31,Churned
263,Company_02408,SMB,Technology,Singapore,41,2025-08-26,Active
264,Company_02412,SMB,Financial Services,Hong Kong,13,2024-03-12,Churned
265,Company_02415,Mid-Market,Retail,Singapore,360,2025-04-09,Active
266,Company_02421,SMB,Technology,Hong Kong,69,2025-02-13,Churned
267,Company_02434,Enterprise,Professional Services,Taiwan,774,2025-08-30,Churned
268,Company_02467,Enterprise,Manufacturing,Taiwan,2456,2025-03-08,Churned
269,Company_02469,Mid-Market,Professional Services,Singapore,216,2025-04-26,Active
270,Company_02471,SMB,Healthcare,Taiwan,10,2025-10-16,Churned
271,Company_02477,SMB,Manufacturing,Hong Kong,30,2025-10-03,Active
272,Company_02489,Enterprise,Retail,Singapore,2763,2025-01-13,Active
273,Company_02495,SMB,Retail,Hong Kong,62,2024-05-16,Churned
274,Company_02504,SMB,Professional Services,Taiwan,71,2025-10-21,Active
275,Company_02517,SMB,Technology,Taiwan,71,2025-10-18,Churned
276,Company_02535,Mid-Market,Financial Services,Singapore,314,2025-06-29,Churned
277,Company_02559,Mid-Market,Retail,Singapore,440,2024-10-05,Churned
278,Company_02571,Mid-Market,Manufacturing,Hong Kong,419,2025-08-13,Churned
279,Company_02574,Enterprise,Healthcare,Hong Kong,3940,2025-06-22,Churned
280,Company_02590,SMB,Technology,Singapore,80,2025-04-15,Churned
281,Company_02597,SMB,Technology,Singapore,93,2024-06-23,Active
282,Company_02606,SMB,Healthcare,Taiwan,81,2024-08-07,Active
283,Company_02607,SMB,Retail,Singapore,67,2025-01-14,Churned
284,Company_02616,SMB,Technology,Japan,10,2024-06-09,Churned
285,Company_02626,SMB,Retail,Singapore,64,2025-11-14,Active
286,Company_02636,SMB,Financial Services,Hong Kong,47,2025-05-11,Churned
287,Company_02646,SMB,Manufacturing,Singapore,21,2024-05-14,Active
288,Company_02649,SMB,Financial Services,Taiwan,17,2024-07-09,Churned
289,Company_02660,Mid-Market,Financial Services,Japan,360,2024-04-20,Churned
290,Company_02672,Enterprise,Healthcare,Japan,937,2024-10-31,Churned
291,Company_02688,SMB,Retail,Japan,89,2025-02-27,Active
292,Company_02704,Mid-Market,Financial Services,Singapore,438,2025-12-21,Active
293,Company_02706,Enterprise,Retail,Taiwan,1043,2025-05-18,Churned
294,Company_02726,Mid-Market,Professional Services,Singapore,103,2024-03-14,Churned
295,Company_02734,Mid-Market,Retail,Singapore,340,2025-12-12,Churned
296,Company_02743,SMB,Healthcare,Hong Kong,93,2025-06-12,Churned
297,Company_02761,Enterprise,Retail,Singapore,1778,2025-09-18,Churned
298,Company_02771,SMB,Financial Services,Hong Kong,82,2024-10-15,Churned
299,Company_02773,Mid-Market,Professional Services,Hong Kong,414,2025-08-07,Churned
300,Company_02777,Enterprise,Technology,Hong Kong,4054,2025-11-03,Active
301,Company_02781,Enterprise,Technology,Japan,4558,2025-08-09,Churned
302,Company_02786,SMB,Healthcare,Singapore,31,2025-03-25,Churned
303,Company_02809,Mid-Market,Professional Services,Singapore,190,2025-06-10,Active
304,Company_02815,SMB,Professional Services,Hong Kong,46,2024-08-07,Churned
305,Company_02824,Enterprise,Retail,Singapore,4818,2024-10-06,Churned
306,Company_02831,Mid-Market,Professional Services,Singapore,273,2024-09-15,Churned
307,Company_02834,Mid-Market,Professional Services,Taiwan,279,2024-10-26,Active
308,Company_02835,Mid-Market,Retail,Japan,159,2026-02-25,Active
309,Company_02854,Mid-Market,Technology,Taiwan,274,2024-04-23,Churned
310,Company_02862,Mid-Market,Manufacturing,Hong Kong,423,2024-11-01,Churned
311,Company_02865,Mid-Market,Healthcare,Hong Kong,329,2025-05-20,Churned
312,Company_02869,SMB,Healthcare,Singapore,14,2025-05-13,Churned
313,Company_02874,Enterprise,Manufacturing,Japan,2160,2026-01-10,Churned
314,Company_02889,SMB,Retail,Taiwan,43,2025-04-22,Churned
315,Company_02916,SMB,Technology,Japan,35,2025-04-22,Churned
316,Company_02929,Mid-Market,Technology,Hong Kong,244,2024-10-20,Churned
317,Company_02951,SMB,Technology,Taiwan,83,2025-05-31,Churned
318,Company_02952,SMB,Financial Services,Hong Kong,21,2025-02-12,Churned
319,Company_02953,SMB,Professional Services,Hong Kong,66,2025-05-15,Active
320,Company_02958,Mid-Market,Financial Services,Singapore,139,2026-01-14,Active
321,Company_02963,Mid-Market,Healthcare,Hong Kong,439,2024-07-05,Churned
322,Company_02965,SMB,Manufacturing,Japan,16,2026-01-17,Active
323,Company_02982,SMB,Technology,Taiwan,16,2024-10-06,Churned
324,Company_02996,Mid-Market,Manufacturing,Japan,219,2025-07-02,Churned
325,Company_03005,Mid-Market,Financial Services,Singapore,434,2025-06-19,Churned
326,Company_03025,Mid-Market,Financial Services,Japan,420,2025-11-01,Churned
327,Company_03028,SMB,Professional Services,Taiwan,53,2024-09-17,Active
328,Company_03030,Mid-Market,Financial Services,Hong Kong,352,2024-03-13,Active
329,Company_03049,SMB,Professional Services,Japan,90,2024-10-17,Active
330,Company_03062,Enterprise,Technology,Japan,834,2026-01-05,Churned
331,Company_03063,SMB,Financial Services,Japan,52,2025-10-03,Active
332,Company_03066,Enterprise,Manufacturing,Japan,4874,2026-01-26,Churned
333,Company_03070,SMB,Financial Services,Taiwan,39,2024-07-09,Churned
334,Company_03082,Mid-Market,Healthcare,Japan,434,2025-07-16,Active
335,Company_03091,Mid-Market,Retail,Singapore,212,2025-01-13,Churned
336,Company_03118,SMB,Retail,Singapore,92,2024-07-06,Churned
337,Company_03122,SMB,Manufacturing,Hong Kong,49,2025-03-05,Active
338,Company_03132,Enterprise,Healthcare,Japan,2800,2025-03-26,Active
339,Company_03138,SMB,Technology,Japan,41,2025-06-14,Active
340,Company_03143,Mid-Market,Professional Services,Hong Kong,420,2025-08-04,Churned
341,Company_03144,Enterprise,Professional Services,Singapore,4495,2025-12-05,Churned
342,Company_03179,Mid-Market,Retail,Japan,245,2024-12-17,Active
343,Company_03193,SMB,Financial Services,Taiwan,72,2025-01-04,Churned
344,Company_03221,SMB,Technology,Taiwan,57,2024-03-10,Active
345,Company_03227,Enterprise,Financial Services,Taiwan,982,2025-04-04,Churned
346,Company_03231,SMB,Manufacturing,Japan,64,2025-02-25,Active
347,Company_03234,SMB,Professional Services,Japan,36,2024-07-07,Churned
348,Company_03235,SMB,Retail,Singapore,61,2025-04-26,Churned
349,Company_03245,SMB,Healthcare,Hong Kong,81,2025-03-14,Churned
350,Company_03246,Mid-Market,Financial Services,Taiwan,272,2024-09-08,Churned
351,Company_03250,SMB,Professional Services,Taiwan,36,2025-12-21,Churned
352,Company_03254,Mid-Market,Technology,Singapore,388,2024-07-03,Churned
353,Company_03264,Mid-Market,Manufacturing,Taiwan,419,2024-09-28,Churned
354,Company_03267,SMB,Healthcare,Singapore,98,2024-12-19,Active
355,Company_03275,SMB,Technology,Hong Kong,33,2025-06-13,Churned
356,Company_03283,SMB,Retail,Taiwan,74,2025-12-19,Churned
357,Company_03285,SMB,Retail,Japan,61,2025-03-17,Active
358,Company_03296,Mid-Market,Technology,Hong Kong,469,2025-05-19,Churned
359,Company_03297,SMB,Financial Services,Japan,36,2025-03-07,Active
360,Company_03300,SMB,Technology,Singapore,58,2024-02-06,Active
361,Company_03307,SMB,Financial Services,Japan,84,2024-05-13,Churned
362,Company_03317,Enterprise,Professional Services,Japan,2404,2026-02-21,Active
363,Company_03318,SMB,Manufacturing,Taiwan,42,2024-02-29,Churned
364,Company_03320,SMB,Financial Services,Singapore,96,2024-05-13,Active
365,Company_03321,Enterprise,Manufacturing,Hong Kong,1155,2024-06-12,Churned
366,Company_03341,Enterprise,Financial Services,Taiwan,1022,2024-11-14,Churned
367,Company_03343,SMB,Financial Services,Japan,56,2024-11-01,Churned
368,Company_03356,SMB,Technology,Singapore,27,2025-07-17,Active
369,Company_03357,SMB,Technology,Hong Kong,55,2025-07-08,Active
370,Company_03368,SMB,Financial Services,Taiwan,63,2025-03-15,Churned
371,Company_03370,Enterprise,Healthcare,Japan,2703,2025-10-21,Active
372,Company_03374,Mid-Market,Professional Services,Singapore,151,2025-08-28,Active
373,Company_03381,SMB,Professional Services,Taiwan,93,2024-08-04,Active
374,Company_03383,SMB,Financial Services,Taiwan,61,2025-07-12,Churned
375,Company_03403,SMB,Technology,Taiwan,55,2024-06-29,Churned
376,Company_03405,SMB,Retail,Hong Kong,16,2024-05-15,Churned
