revenue_id,account_id,revenue_month,starting_mrr,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,ending_mrr
132,9,2026-01-01,19898,0,0,0,0,19898
133,9,2026-02-01,19898,0,0,0,0,19898
134,9,2026-03-01,19898,0,0,0,0,19898
135,9,2026-04-01,19898,0,0,0,0,19898
136,9,2026-05-01,19898,0,0,0,0,19898
137,9,2026-06-01,19898,0,0,0,0,19898
138,10,2026-02-01,0,4940,0,0,0,4940
139,10,2026-03-01,4940,0,0,0,0,4940
140,10,2026-04-01,4940,0,0,0,0,4940
141,10,2026-05-01,4940,0,0,0,0,4940
142,10,2026-06-01,4940,0,0,0,0,4940
143,11,2024-07-01,0,4938,0,0,0,4938
144,11,2024-08-01,4938,0,522,0,0,5460
145,11,2024-09-01,5460,0,0,0,0,5460
146,11,2024-10-01,5460,0,0,0,5460,0
147,11,2024-11-01,0,0,0,0,0,0
148,11,2024-12-01,0,0,0,0,0,0
149,11,2025-01-01,0,0,0,0,0,0
150,11,2025-02-01,0,0,0,0,0,0
151,11,2025-03-01,0,0,0,0,0,0
152,11,2025-04-01,0,0,0,0,0,0
153,11,2025-05-01,0,0,0,0,0,0
154,11,2025-06-01,0,0,0,0,0,0
155,11,2025-07-01,0,0,0,0,0,0
156,11,2025-08-01,0,0,0,0,0,0
157,11,2025-09-01,0,0,0,0,0,0
158,11,2025-10-01,0,0,0,0,0,0
159,11,2025-11-01,0,0,0,0,0,0
160,11,2025-12-01,0,0,0,0,0,0
161,11,2026-01-01,0,0,0,0,0,0
162,11,2026-02-01,0,0,0,0,0,0
163,11,2026-03-01,0,0,0,0,0,0
164,11,2026-04-01,0,0,0,0,0,0
165,11,2026-05-01,0,0,0,0,0,0
166,11,2026-06-01,0,0,0,0,0,0
167,12,2024-08-01,0,9536,0,0,0,9536
168,12,2024-09-01,9536,0,0,0,9536,0
169,12,2024-10-01,0,0,0,0,0,0
170,12,2024-11-01,0,0,0,0,0,0
171,12,2024-12-01,0,0,0,0,0,0
172,12,2025-01-01,0,0,0,0,0,0
173,12,2025-02-01,0,0,0,0,0,0
174,12,2025-03-01,0,0,0,0,0,0
175,12,2025-04-01,0,0,0,0,0,0
176,12,2025-05-01,0,0,0,0,0,0
177,12,2025-06-01,0,0,0,0,0,0
178,12,2025-07-01,0,0,0,0,0,0
179,12,2025-08-01,0,0,0,0,0,0
180,12,2025-09-01,0,0,0,0,0,0
181,12,2025-10-01,0,0,0,0,0,0
182,12,2025-11-01,0,0,0,0,0,0
183,12,2025-12-01,0,0,0,0,0,0
184,12,2026-01-01,0,0,0,0,0,0
185,12,2026-02-01,0,0,0,0,0,0
186,12,2026-03-01,0,0,0,0,0,0
187,12,2026-04-01,0,0,0,0,0,0
188,12,2026-05-01,0,0,0,0,0,0
189,12,2026-06-01,0,0,0,0,0,0
190,13,2024-04-01,0,5513,0,0,0,5513
191,13,2024-05-01,5513,0,0,0,0,5513
192,13,2024-06-01,5513,0,0,0,0,5513
193,13,2024-07-01,5513,0,0,0,0,5513
194,13,2024-08-01,5513,0,650,0,0,6163
195,13,2024-09-01,6163,0,0,0,0,6163
196,13,2024-10-01,6163,0,0,0,0,6163
197,13,2024-11-01,6163,0,0,0,0,6163
198,13,2024-12-01,6163,0,0,0,0,6163
199,13,2025-01-01,6163,0,0,0,0,6163
200,13,2025-02-01,6163,0,0,0,0,6163
201,13,2025-03-01,6163,0,0,0,0,6163
202,13,2025-04-01,6163,0,0,0,0,6163
203,13,2025-05-01,6163,0,0,0,0,6163
204,13,2025-06-01,6163,0,0,0,0,6163
205,13,2025-07-01,6163,0,0,0,0,6163
206,13,2025-08-01,6163,0,0,0,0,6163
207,13,2025-09-01,6163,0,0,0,0,6163
208,13,2025-10-01,6163,0,0,0,0,6163
209,13,2025-11-01,6163,0,931,0,0,7094
210,13,2025-12-01,7094,0,0,0,0,7094
211,13,2026-01-01,7094,0,0,0,0,7094
212,13,2026-02-01,7094,0,0,0,0,7094
213,13,2026-03-01,7094,0,0,0,0,7094
214,13,2026-04-01,7094,0,0,0,0,7094
215,13,2026-05-01,7094,0,0,0,0,7094
216,13,2026-06-01,7094,0,0,1077,0,6017
217,14,2026-02-01,0,73432,0,0,0,73432
218,14,2026-03-01,73432,0,0,0,0,73432
219,14,2026-04-01,73432,0,0,11554,0,61878
220,14,2026-05-01,61878,0,0,0,0,61878
221,14,2026-06-01,61878,0,13465,0,0,75343
222,15,2025-01-01,0,3975,0,0,0,3975
223,15,2025-02-01,3975,0,0,0,3975,0
224,15,2025-03-01,0,0,0,0,0,0
225,15,2025-04-01,0,0,0,0,0,0
226,15,2025-05-01,0,0,0,0,0,0
227,15,2025-06-01,0,0,0,0,0,0
228,15,2025-07-01,0,0,0,0,0,0
229,15,2025-08-01,0,0,0,0,0,0
230,15,2025-09-01,0,0,0,0,0,0
231,15,2025-10-01,0,0,0,0,0,0
232,15,2025-11-01,0,0,0,0,0,0
233,15,2025-12-01,0,0,0,0,0,0
234,15,2026-01-01,0,0,0,0,0,0
235,15,2026-02-01,0,0,0,0,0,0
236,15,2026-03-01,0,0,0,0,0,0
237,15,2026-04-01,0,0,0,0,0,0
238,15,2026-05-01,0,0,0,0,0,0
239,15,2026-06-01,0,0,0,0,0,0
240,16,2025-08-01,0,30657,0,0,0,30657
241,16,2025-09-01,30657,0,0,0,0,30657
242,16,2025-10-01,30657,0,0,0,0,30657
243,16,2025-11-01,30657,0,0,0,0,30657
244,16,2025-12-01,30657,0,0,0,0,30657
245,16,2026-01-01,30657,0,0,0,0,30657
246,16,2026-02-01,30657,0,0,0,0,30657
247,16,2026-03-01,30657,0,0,0,30657,0
248,16,2026-04-01,0,0,0,0,0,0
249,16,2026-05-01,0,0,0,0,0,0
250,16,2026-06-01,0,0,0,0,0,0
251,17,2024-11-01,0,46443,0,0,0,46443
252,17,2024-12-01,46443,0,0,0,0,46443
253,17,2025-01-01,46443,0,0,0,0,46443
254,17,2025-02-01,46443,0,0,0,0,46443
255,17,2025-03-01,46443,0,0,0,46443,0
256,17,2025-04-01,0,0,0,0,0,0
257,17,2025-05-01,0,0,0,0,0,0
258,17,2025-06-01,0,0,0,0,0,0
259,17,2025-07-01,0,0,0,0,0,0
260,17,2025-08-01,0,0,0,0,0,0
261,17,2025-09-01,0,0,0,0,0,0
262,17,2025-10-01,0,0,0,0,0,0
263,17,2025-11-01,0,0,0,0,0,0
264,17,2025-12-01,0,0,0,0,0,0
265,17,2026-01-01,0,0,0,0,0,0
266,17,2026-02-01,0,0,0,0,0,0
267,17,2026-03-01,0,0,0,0,0,0
268,17,2026-04-01,0,0,0,0,0,0
269,17,2026-05-01,0,0,0,0,0,0
270,17,2026-06-01,0,0,0,0,0,0
271,18,2024-09-01,0,9132,0,0,0,9132
272,18,2024-10-01,9132,0,0,0,0,9132
273,18,2024-11-01,9132,0,0,0,0,9132
274,18,2024-12-01,9132,0,0,0,0,9132
275,18,2025-01-01,9132,0,0,0,0,9132
276,18,2025-02-01,9132,0,2689,0,0,11821
277,18,2025-03-01,11821,0,0,0,11821,0
278,18,2025-04-01,0,0,0,0,0,0
279,18,2025-05-01,0,0,0,0,0,0
280,18,2025-06-01,0,0,0,0,0,0
281,18,2025-07-01,0,0,0,0,0,0
282,18,2025-08-01,0,0,0,0,0,0
283,18,2025-09-01,0,0,0,0,0,0
284,18,2025-10-01,0,0,0,0,0,0
285,18,2025-11-01,0,0,0,0,0,0
286,18,2025-12-01,0,0,0,0,0,0
287,18,2026-01-01,0,0,0,0,0,0
288,18,2026-02-01,0,0,0,0,0,0
289,18,2026-03-01,0,0,0,0,0,0
290,18,2026-04-01,0,0,0,0,0,0
291,18,2026-05-01,0,0,0,0,0,0
292,18,2026-06-01,0,0,0,0,0,0
293,19,2024-05-01,0,4384,0,0,0,4384
294,19,2024-06-01,4384,0,0,0,0,4384
295,19,2024-07-01,4384,0,0,0,0,4384
296,19,2024-08-01,4384,0,0,0,0,4384
297,19,2024-09-01,4384,0,0,0,0,4384
298,19,2024-10-01,4384,0,0,0,0,4384
299,19,2024-11-01,4384,0,0,0,0,4384
300,19,2024-12-01,4384,0,786,0,0,5170
301,19,2025-01-01,5170,0,0,0,0,5170
302,19,2025-02-01,5170,0,0,0,0,5170
303,19,2025-03-01,5170,0,0,0,0,5170
304,19,2025-04-01,5170,0,0,0,0,5170
305,19,2025-05-01,5170,0,565,0,0,5735
306,19,2025-06-01,5735,0,0,0,0,5735
307,19,2025-07-01,5735,0,0,0,0,5735
308,19,2025-08-01,5735,0,0,0,0,5735
309,19,2025-09-01,5735,0,0,0,0,5735
310,19,2025-10-01,5735,0,0,0,0,5735
311,19,2025-11-01,5735,0,0,0,0,5735
312,19,2025-12-01,5735,0,0,0,0,5735
313,19,2026-01-01,5735,0,0,0,0,5735
314,19,2026-02-01,5735,0,0,0,0,5735
315,19,2026-03-01,5735,0,0,0,0,5735
316,19,2026-04-01,5735,0,0,0,0,5735
317,19,2026-05-01,5735,0,0,0,0,5735
318,19,2026-06-01,5735,0,0,0,5735,0
319,20,2025-05-01,0,56337,0,0,0,56337
320,20,2025-06-01,56337,0,0,0,0,56337
321,20,2025-07-01,56337,0,0,0,0,56337
322,20,2025-08-01,56337,0,0,0,0,56337
323,20,2025-09-01,56337,0,0,0,0,56337
324,20,2025-10-01,56337,0,10067,0,0,66404
325,20,2025-11-01,66404,0,0,0,0,66404
326,20,2025-12-01,66404,0,0,0,0,66404
327,20,2026-01-01,66404,0,0,0,0,66404
328,20,2026-02-01,66404,0,13034,0,0,79438
329,20,2026-03-01,79438,0,16889,0,0,96327
330,20,2026-04-01,96327,0,0,0,0,96327
331,20,2026-05-01,96327,0,0,11893,0,84434
332,20,2026-06-01,84434,0,0,0,0,84434
333,21,2024-09-01,0,14436,0,0,0,14436
334,21,2024-10-01,14436,0,0,0,0,14436
335,21,2024-11-01,14436,0,0,0,0,14436
336,21,2024-12-01,14436,0,0,0,0,14436
337,21,2025-01-01,14436,0,0,0,0,14436
338,21,2025-02-01,14436,0,0,0,0,14436
339,21,2025-03-01,14436,0,0,0,0,14436
340,21,2025-04-01,14436,0,0,0,0,14436
341,21,2025-05-01,14436,0,0,0,0,14436
342,21,2025-06-01,14436,0,0,0,0,14436
343,21,2025-07-01,14436,0,0,0,0,14436
344,21,2025-08-01,14436,0,0,0,0,14436
345,21,2025-09-01,14436,0,0,0,0,14436
346,21,2025-10-01,14436,0,0,0,0,14436
347,21,2025-11-01,14436,0,0,0,0,14436
348,21,2025-12-01,14436,0,4250,0,0,18686
349,21,2026-01-01,18686,0,0,0,0,18686
350,21,2026-02-01,18686,0,0,0,0,18686
351,21,2026-03-01,18686,0,0,0,0,18686
352,21,2026-04-01,18686,0,0,0,0,18686
353,21,2026-05-01,18686,0,0,0,0,18686
354,21,2026-06-01,18686,0,0,0,0,18686
355,22,2024-09-01,0,13087,0,0,0,13087
356,22,2024-10-01,13087,0,0,0,13087,0
357,22,2024-11-01,0,0,0,0,0,0
358,22,2024-12-01,0,0,0,0,0,0
359,22,2025-01-01,0,0,0,0,0,0
360,22,2025-02-01,0,0,0,0,0,0
361,22,2025-03-01,0,0,0,0,0,0
362,22,2025-04-01,0,0,0,0,0,0
363,22,2025-05-01,0,0,0,0,0,0
364,22,2025-06-01,0,0,0,0,0,0
365,22,2025-07-01,0,0,0,0,0,0
366,22,2025-08-01,0,0,0,0,0,0
367,22,2025-09-01,0,0,0,0,0,0
368,22,2025-10-01,0,0,0,0,0,0
369,22,2025-11-01,0,0,0,0,0,0
370,22,2025-12-01,0,0,0,0,0,0
371,22,2026-01-01,0,0,0,0,0,0
372,22,2026-02-01,0,0,0,0,0,0
373,22,2026-03-01,0,0,0,0,0,0
374,22,2026-04-01,0,0,0,0,0,0
375,22,2026-05-01,0,0,0,0,0,0
376,22,2026-06-01,0,0,0,0,0,0
377,23,2024-10-01,0,8071,0,0,0,8071
378,23,2024-11-01,8071,0,0,0,0,8071
379,23,2024-12-01,8071,0,0,0,0,8071
380,23,2025-01-01,8071,0,0,0,0,8071
381,23,2025-02-01,8071,0,0,0,0,8071
382,23,2025-03-01,8071,0,0,0,0,8071
383,23,2025-04-01,8071,0,0,0,0,8071
384,23,2025-05-01,8071,0,0,0,0,8071
385,23,2025-06-01,8071,0,0,0,0,8071
386,23,2025-07-01,8071,0,0,1001,0,7070
387,23,2025-08-01,7070,0,0,0,0,7070
388,23,2025-09-01,7070,0,0,0,0,7070
389,23,2025-10-01,7070,0,0,0,0,7070
390,23,2025-11-01,7070,0,0,0,0,7070
391,23,2025-12-01,7070,0,0,0,0,7070
392,23,2026-01-01,7070,0,1562,0,0,8632
393,23,2026-02-01,8632,0,0,0,0,8632
394,23,2026-03-01,8632,0,0,0,0,8632
395,23,2026-04-01,8632,0,0,0,0,8632
396,23,2026-05-01,8632,0,0,0,8632,0
397,23,2026-06-01,0,0,0,0,0,0
398,24,2025-04-01,0,7068,0,0,0,7068
399,24,2025-05-01,7068,0,0,0,0,7068
400,24,2025-06-01,7068,0,0,0,0,7068
401,24,2025-07-01,7068,0,0,0,0,7068
402,24,2025-08-01,7068,0,0,0,0,7068
403,24,2025-09-01,7068,0,0,0,0,7068
404,24,2025-10-01,7068,0,0,0,0,7068
405,24,2025-11-01,7068,0,0,0,0,7068
406,24,2025-12-01,7068,0,0,0,0,7068
407,24,2026-01-01,7068,0,0,0,0,7068
408,24,2026-02-01,7068,0,0,0,0,7068
409,24,2026-03-01,7068,0,0,0,0,7068
410,24,2026-04-01,7068,0,0,0,0,7068
411,24,2026-05-01,7068,0,0,0,0,7068
412,24,2026-06-01,7068,0,0,0,0,7068
413,25,2024-05-01,0,24285,0,0,0,24285
414,25,2024-06-01,24285,0,0,0,0,24285
415,25,2024-07-01,24285,0,0,0,0,24285
416,25,2024-08-01,24285,0,0,0,0,24285
417,25,2024-09-01,24285,0,0,0,0,24285
418,25,2024-10-01,24285,0,0,0,0,24285
419,25,2024-11-01,24285,0,4995,0,0,29280
420,25,2024-12-01,29280,0,0,6868,0,22412
421,25,2025-01-01,22412,0,0,0,0,22412
422,25,2025-02-01,22412,0,0,0,0,22412
423,25,2025-03-01,22412,0,3492,0,0,25904
424,25,2025-04-01,25904,0,0,0,0,25904
425,25,2025-05-01,25904,0,0,0,0,25904
426,25,2025-06-01,25904,0,0,0,0,25904
427,25,2025-07-01,25904,0,0,0,0,25904
428,25,2025-08-01,25904,0,0,0,0,25904
429,25,2025-09-01,25904,0,0,0,0,25904
430,25,2025-10-01,25904,0,0,0,0,25904
431,25,2025-11-01,25904,0,0,0,0,25904
432,25,2025-12-01,25904,0,0,0,0,25904
433,25,2026-01-01,25904,0,0,0,25904,0
434,25,2026-02-01,0,0,0,0,0,0
435,25,2026-03-01,0,0,0,0,0,0
436,25,2026-04-01,0,0,0,0,0,0
437,25,2026-05-01,0,0,0,0,0,0
438,25,2026-06-01,0,0,0,0,0,0
439,26,2025-12-01,0,16524,0,0,0,16524
440,26,2026-01-01,16524,0,0,0,0,16524
441,26,2026-02-01,16524,0,0,0,0,16524
442,26,2026-03-01,16524,0,0,0,0,16524
443,26,2026-04-01,16524,0,0,0,0,16524
444,26,2026-05-01,16524,0,0,0,0,16524
445,26,2026-06-01,16524,0,0,0,0,16524
446,27,2024-04-01,0,6299,0,0,0,6299
447,27,2024-05-01,6299,0,0,0,0,6299
448,27,2024-06-01,6299,0,0,0,0,6299
449,27,2024-07-01,6299,0,0,0,0,6299
450,27,2024-08-01,6299,0,0,0,0,6299
451,27,2024-09-01,6299,0,0,0,0,6299
452,27,2024-10-01,6299,0,0,0,0,6299
453,27,2024-11-01,6299,0,0,0,0,6299
454,27,2024-12-01,6299,0,0,0,0,6299
455,27,2025-01-01,6299,0,0,0,0,6299
456,27,2025-02-01,6299,0,0,0,6299,0
457,27,2025-03-01,0,0,0,0,0,0
458,27,2025-04-01,0,0,0,0,0,0
459,27,2025-05-01,0,0,0,0,0,0
460,27,2025-06-01,0,0,0,0,0,0
461,27,2025-07-01,0,0,0,0,0,0
462,27,2025-08-01,0,0,0,0,0,0
463,27,2025-09-01,0,0,0,0,0,0
464,27,2025-10-01,0,0,0,0,0,0
465,27,2025-11-01,0,0,0,0,0,0
466,27,2025-12-01,0,0,0,0,0,0
467,27,2026-01-01,0,0,0,0,0,0
468,27,2026-02-01,0,0,0,0,0,0
469,27,2026-03-01,0,0,0,0,0,0
470,27,2026-04-01,0,0,0,0,0,0
471,27,2026-05-01,0,0,0,0,0,0
472,27,2026-06-01,0,0,0,0,0,0
473,28,2024-03-01,0,19564,0,0,0,19564
474,28,2024-04-01,19564,0,0,0,0,19564
475,28,2024-05-01,19564,0,0,0,0,19564
476,28,2024-06-01,19564,0,0,0,0,19564
477,28,2024-07-01,19564,0,0,0,0,19564
478,28,2024-08-01,19564,0,0,0,0,19564
479,28,2024-09-01,19564,0,0,0,0,19564
480,28,2024-10-01,19564,0,0,0,0,19564
481,28,2024-11-01,19564,0,0,0,19564,0
482,28,2024-12-01,0,0,0,0,0,0
483,28,2025-01-01,0,0,0,0,0,0
484,28,2025-02-01,0,0,0,0,0,0
485,28,2025-03-01,0,0,0,0,0,0
486,28,2025-04-01,0,0,0,0,0,0
487,28,2025-05-01,0,0,0,0,0,0
488,28,2025-06-01,0,0,0,0,0,0
489,28,2025-07-01,0,0,0,0,0,0
490,28,2025-08-01,0,0,0,0,0,0
491,28,2025-09-01,0,0,0,0,0,0
492,28,2025-10-01,0,0,0,0,0,0
493,28,2025-11-01,0,0,0,0,0,0
494,28,2025-12-01,0,0,0,0,0,0
495,28,2026-01-01,0,0,0,0,0,0
496,28,2026-02-01,0,0,0,0,0,0
497,28,2026-03-01,0,0,0,0,0,0
498,28,2026-04-01,0,0,0,0,0,0
499,28,2026-05-01,0,0,0,0,0,0
500,28,2026-06-01,0,0,0,0,0,0
501,29,2024-03-01,0,7386,0,0,0,7386
502,29,2024-04-01,7386,0,0,0,0,7386
503,29,2024-05-01,7386,0,0,0,0,7386
504,29,2024-06-01,7386,0,0,0,0,7386
505,29,2024-07-01,7386,0,0,0,0,7386
506,29,2024-08-01,7386,0,0,0,0,7386
507,29,2024-09-01,7386,0,0,0,0,7386
508,29,2024-10-01,7386,0,0,0,0,7386
509,29,2024-11-01,7386,0,0,0,7386,0
510,29,2024-12-01,0,0,0,0,0,0
511,29,2025-01-01,0,0,0,0,0,0
512,29,2025-02-01,0,0,0,0,0,0
513,29,2025-03-01,0,0,0,0,0,0
514,29,2025-04-01,0,0,0,0,0,0
515,29,2025-05-01,0,0,0,0,0,0
516,29,2025-06-01,0,0,0,0,0,0
517,29,2025-07-01,0,0,0,0,0,0
518,29,2025-08-01,0,0,0,0,0,0
519,29,2025-09-01,0,0,0,0,0,0
520,29,2025-10-01,0,0,0,0,0,0
521,29,2025-11-01,0,0,0,0,0,0
522,29,2025-12-01,0,0,0,0,0,0
523,29,2026-01-01,0,0,0,0,0,0
524,29,2026-02-01,0,0,0,0,0,0
525,29,2026-03-01,0,0,0,0,0,0
526,29,2026-04-01,0,0,0,0,0,0
527,29,2026-05-01,0,0,0,0,0,0
528,29,2026-06-01,0,0,0,0,0,0
529,30,2024-04-01,0,4359,0,0,0,4359
530,30,2024-05-01,4359,0,0,0,0,4359
531,30,2024-06-01,4359,0,0,0,0,4359
532,30,2024-07-01,4359,0,0,984,0,3375
533,30,2024-08-01,3375,0,0,0,0,3375
534,30,2024-09-01,3375,0,0,0,0,3375
535,30,2024-10-01,3375,0,0,0,0,3375
536,30,2024-11-01,3375,0,0,0,0,3375
537,30,2024-12-01,3375,0,0,0,0,3375
538,30,2025-01-01,3375,0,0,0,0,3375
539,30,2025-02-01,3375,0,0,0,0,3375
540,30,2025-03-01,3375,0,0,0,0,3375
541,30,2025-04-01,3375,0,0,0,0,3375
542,30,2025-05-01,3375,0,0,0,0,3375
543,30,2025-06-01,3375,0,853,0,0,4228
544,30,2025-07-01,4228,0,0,0,0,4228
545,30,2025-08-01,4228,0,0,0,0,4228
546,30,2025-09-01,4228,0,0,0,0,4228
547,30,2025-10-01,4228,0,0,0,0,4228
548,30,2025-11-01,4228,0,599,0,0,4827
549,30,2025-12-01,4827,0,0,0,0,4827
550,30,2026-01-01,4827,0,0,490,0,4337
551,30,2026-02-01,4337,0,0,0,0,4337
552,30,2026-03-01,4337,0,0,0,0,4337
553,30,2026-04-01,4337,0,0,845,0,3492
554,30,2026-05-01,3492,0,0,0,0,3492
555,30,2026-06-01,3492,0,0,0,0,3492
556,31,2025-07-01,0,11846,0,0,0,11846
557,31,2025-08-01,11846,0,0,0,0,11846
558,31,2025-09-01,11846,0,0,0,0,11846
559,31,2025-10-01,11846,0,0,0,0,11846
560,31,2025-11-01,11846,0,0,0,0,11846
561,31,2025-12-01,11846,0,0,0,0,11846
562,31,2026-01-01,11846,0,0,0,0,11846
563,31,2026-02-01,11846,0,0,0,0,11846
564,31,2026-03-01,11846,0,0,0,0,11846
565,31,2026-04-01,11846,0,0,0,0,11846
566,31,2026-05-01,11846,0,0,0,0,11846
567,31,2026-06-01,11846,0,0,0,0,11846
568,32,2025-05-01,0,14526,0,0,0,14526
569,32,2025-06-01,14526,0,0,0,14526,0
